SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskYPos;MainTaskZPos;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #355;0,003;Heat;;;;;;;;0,8121098;0,001899719;4,828038;8,999991;0;137,7645;55,28569
Subject #355;0,122;Smell;;;;Task Started;;;;1,014552;0,001899719;6,106212;8,999991;0;148,3423;47,21434
Subject #355;0,233;Smell;;;;;;;;1,219943;0,001899719;7,402999;8,999991;0;156,5317;51,71321
Subject #355;0,345;Smell;;;;;;;;1,444736;0,001899719;8,822285;8,999991;0;156,8243;52,30033
Subject #355;0,445;Smell;;;;;;;;1,66423;0,001899719;10,20811;8,999991;0;157,9832;55,65049
Subject #355;0,546;Smell;;;;;;;;1,900269;0,001899719;11,69841;8,999991;0;161,3042;55,65588
Subject #355;0,646;Smell;;;;;;;;2,150759;0,001899719;13,27994;8,999991;0;150,9198;56,14754
Subject #355;0,747;Smell;;;;;;;;2,418708;0,001899719;14,97171;8,999991;0;156,8038;56,90386
Subject #355;0,848;Smell;;;;;;;;2,700938;0,001899719;16,75364;8,999991;0;160,2316;63,73494
Subject #355;0,948;Smell;;;;;;;;2,999819;0,001899719;18,6407;8,999991;0;150,9845;63,24886
Subject #355;1,049;Smell;;;;;;;;3,312269;0,001899719;20,61344;8,999991;0;159,4028;63,79346
Subject #355;1,149;Smell;;;;;;;;3,626295;0,001899719;22,59612;8,999991;0;174,2574;65,94592
Subject #355;1,250;Smell;;;;;;;;3,943005;0,001899719;24,59575;8,999991;0;181,5282;64,9232
Subject #355;1,351;Smell;;;;;;;;4,257103;0,001899719;26,57889;8,999991;0;171,375;73,84519
Subject #355;1,451;Smell;;;;;;;;4,571295;0,001899719;28,56262;8,999991;0;189,2043;78,66376
Subject #355;1,551;Smell;;;;;;;;4,884815;0,001899719;30,54211;8,999991;0;194,4063;83,11667
Subject #355;1,652;Smell;;;;;;;;5,199723;0,001899719;32,53036;8,999991;0;29,24926;79,63671
Subject #355;1,752;Smell;;;;;;;;5,513937;0,001899719;34,51424;8,999991;0;31,20645;63,98476
Subject #355;1,853;Smell;;;;;;;;5,828462;0,001899719;36,50008;8,999991;0;24,11993;58,36776
Subject #355;1,954;Smell;;;;;;;;6,143627;0,001899719;38,48996;8,999991;0;22,34176;59,97595
Subject #355;2,054;Smell;;;;;;;;6,45768;0,001899719;40,47281;8,999991;0;25,83568;50,96818
Subject #355;2,155;Smell;;;;;;;;6,773083;0,001899719;42,46418;8,999991;0;33,24299;15,90985
Subject #355;2,255;Smell;;;;;;;;7,086304;0,001899719;44,44179;8,999991;0;31,57767;349,4178
Subject #355;2,355;Smell;;;;;;;;7,400666;0,001899719;46,4266;8,999991;0;28,07393;353,2042
Subject #355;2,456;Smell;;;;;;;;7,716271;0,001899719;48,41925;8,999991;0;27,71948;357,7822
Subject #355;2,557;Smell;;;;;;;;8,030318;0,001899719;50,40207;8,999991;0;27,38155;9,488516
Subject #355;2,658;Smell;;;;;;;;8,347445;0,001899719;52,40434;8,999991;0;27,51523;5,0974
Subject #355;2,769;Smell;;;;;;;;8,694383;0,001899719;54,59482;8,999991;0;22,55321;6,443358
Subject #355;2,869;Smell;;;;;;;;9,008877;0,001899719;56,58046;8,999991;0;8,355832;8,632265
Subject #355;2,970;Smell;;;;;;;;9,323192;0,001899719;58,56497;8,999991;0;343,1608;4,385097
Subject #355;3,071;Smell;;;;;;;;9,638468;0,001899719;60,55554;8,999991;0;316,3454;355,9579
Subject #355;3,171;Smell;;;;;;;;9,953302;0,001899719;62,54333;8,999991;0;301,4216;353,1937
