SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskYPos;MainTaskZPos;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #192;0,003;Heat;;;;FeedbackRequest successful;;;;0,5527476;0,001899719;3,190488;8,999991;0;42,44687;23,13431
Subject #192;0,113;Heat;;Task Spawned;;;;;;0,6712784;0,001899719;3,938863;8,999991;0;43,87764;23,81949
Subject #192;0,213;Heat;;;;;;;;0,7863726;0,001899719;4,66554;8,999991;0;44,58071;24,17489
Subject #192;0,316;Heat;;;;;;;;0,9130112;0,001899719;5,465105;8,999991;0;46,16615;23,97718
Subject #192;0,416;Heat;;;;;;;;1,047049;0,001899719;6,311388;8,999991;0;46,79721;23,84684
Subject #192;0,517;Heat;;;;FeedbackRequest successful;;;;1,190575;0,001899719;7,217576;8,999991;0;46,98376;24,05497
Subject #192;0,619;Heat;;;;;;;;1,345872;0,001899719;8,198084;8,999991;0;46,45231;24,40992
Subject #192;0,735;Heat;Left;Task Started;Left;Task Started;-6,649823;0,001899719;85,56438;1,530143;0,001899719;9,361529;8,999991;0;45,87987;24,65998
Subject #192;0,840;Heat;Left;;Left;;-6,649823;0,001899719;85,56438;1,715482;0,001899719;10,53171;8,999991;0;49,4504;44,39853
Subject #192;0,941;Heat;Left;;Left;;-6,649823;0,001899719;85,56438;1,899194;0,001899719;11,69163;8,999991;0;45,13833;55,43612
Subject #192;1,042;Heat;Left;;Left;;-6,649823;0,001899719;85,56438;2,089208;0,001899719;12,89133;8,999991;0;37,99914;61,49758
Subject #192;1,142;Heat;Left;;Left;;-6,649823;0,001899719;85,56438;2,277147;0,001899719;14,07793;8,999991;0;34,85554;66,98919
Subject #192;1,244;Heat;Left;;Left;;-6,649823;0,001899719;85,56438;2,468152;0,001899719;15,28389;8,999991;0;38,82596;74,08229
Subject #192;1,354;Heat;Left;;Left;;-6,649823;0,001899719;85,56438;2,675042;0,001899719;16,59015;8,999991;0;34,12999;79,177
Subject #192;1,455;Heat;Left;;Left;;-6,649823;0,001899719;85,56438;2,863304;0,001899719;17,77878;8,999991;0;20,91919;82,24532
Subject #192;1,555;Heat;Left;;Left;;-6,649823;0,001899719;85,56438;3,05215;0,001899719;18,97111;8,999991;0;14,59414;84,13264
