SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskZPos;PlayerXPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #289;0,011;Heat;;;;;;;0,04220786;-0,03293651;8,999991;327,1908;9,868512;327,1938
Subject #289;0,115;Audio;;;;;;;0,0591285;0,07389635;8,999991;327,1908;9,868512;327,1938
Subject #289;0,217;Audio;;Task Spawned;;;-9,176246;69,61315;0,0863733;0,2459134;8,999991;327,1908;9,868512;327,1938
Subject #289;0,326;Audio;;;;;-9,176246;69,61315;0,1240704;0,4839238;8,999992;321,5424;9,93218;321,5461
Subject #289;0,445;Audio;;;;;-9,176246;69,61315;0,1689709;0,767414;8,999995;307,1628;10,20831;307,1689
Subject #289;0,563;Audio;;;;;-9,176246;69,61315;0,2078251;1,01273;8,999994;293,016;10,86647;293,0269
Subject #289;0,677;Audio;;;;;-9,176246;69,61315;0,2329578;1,171412;8,999993;279,3473;13,48555;279,3755
Subject #289;0,782;Audio;;;;;-9,176246;69,61315;0,2394852;1,212624;189;273,2626;176,3807;273,3429
Subject #289;0,891;Audio;;;;;-9,176246;69,61315;0,2240309;1,11505;189;286,335;186,4061;286,3509
Subject #289;1,003;Audio;;;;;-9,176246;69,61315;0,1811033;0,8440152;189;299,7735;187,5302;299,7817
Subject #289;1,110;Audio;;;;;-9,176246;69,61315;0,1104797;0,3981154;189;312,5703;187,921;312,5753
Subject #289;1,218;Audio;;;;;-9,176246;69,61315;0,009968804;-0,2364856;189;325,5321;188,1146;325,5353
Subject #289;1,345;Audio;;;;;-9,176246;69,61315;-0,1426216;-1,199904;189;340,7845;188,2269;340,7862
Subject #289;1,454;Audio;;;;;-9,176246;69,61315;-0,2980021;-2,180938;189;353,8439;188,2658;353,8444
Subject #289;1,561;Audio;;;;;-9,176246;69,61315;-0,4669071;-3,247362;189;6,695707;188,265;6,69516
Subject #289;1,670;Audio;;;;;-9,176246;69,61315;-0,6459192;-4,377601;189;19,77913;188,2242;19,77745
Subject #289;1,786;Audio;;;;;-9,176246;69,61315;-0,8321828;-5,553624;189;33,65618;188,123;33,65309
