SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskZPos;PlayerXPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #287;0,012;Heat;;;;;;;0,0468793;-0,003442153;8,999991;0;9,729981;0
Subject #287;0,153;Audio;;Task Spawned;;;32,33559;76,01044;0,08032458;0,2077233;8,999991;0;9,729981;0
Subject #287;0,264;Audio;;;;;32,33559;76,01044;0,1223031;0,4727657;8,999991;0;9,729981;0
Subject #287;0,381;Audio;;;;;32,33559;76,01044;0,1788335;0,8296849;8,999991;0;9,729981;0
Subject #287;0,495;Audio;;;;;32,33559;76,01044;0,2461975;1,255005;8,999991;0;9,729981;0
Subject #287;0,609;Audio;;;;;32,33559;76,01044;0,3255892;1,756265;8,999991;0;9,729981;0
Subject #287;0,709;Audio;;;;;32,33559;76,01044;0,4062739;2,265688;8,999991;0;9,729981;0
Subject #287;0,821;Audio;;;;;32,33559;76,01044;0,5060493;2,895646;8,999991;0;9,729981;0
Subject #287;0,934;Audio;;;;;32,33559;76,01044;0,6195372;3,612181;8,999991;0;9,729981;0
Subject #287;1,039;Audio;;;;;32,33559;76,01044;0,7357285;4,345785;8,999991;0;9,729981;0
Subject #287;1,139;Audio;;;;;32,33559;76,01044;0,8559543;5,104862;8,999991;0;9,729981;0
Subject #287;1,262;Audio;;;;;32,33559;76,01044;1,015875;6,114562;8,999991;0;9,729981;0
Subject #287;1,378;Audio;;;;;32,33559;76,01044;1,180837;7,156089;8,999991;0;9,729981;0
Subject #287;1,502;Audio;;;;;32,33559;76,01044;1,369772;8,348982;8,999991;0;9,729981;0
Subject #287;1,615;Audio;;;;;32,33559;76,01044;1,555694;9,52285;8,999991;0;9,729981;0
Subject #287;1,717;Audio;;;;;32,33559;76,01044;1,733521;10,64561;8,999991;0;9,729981;0
Subject #287;1,833;Audio;;;;;32,33559;76,01044;1,946349;11,98935;8,999991;0;9,729981;0
Subject #287;1,951;Audio;;;;;32,33559;76,01044;2,168396;13,3913;8,999991;0;9,729981;0
Subject #287;2,062;Audio;;;;;32,33559;76,01044;2,377503;14,71155;8,999991;0;9,729981;0
Subject #287;2,181;Audio;;;;;32,33559;76,01044;2,600166;16,11739;8,999991;0;9,729981;0
Subject #287;2,283;Audio;;;;;32,33559;76,01044;2,791116;17,323;8,999991;0;9,729981;0
Subject #287;2,398;Audio;;;;;32,33559;76,01044;3,007125;18,68683;8,999991;0;9,729981;0
Subject #287;2,498;Audio;;;;;32,33559;76,01044;3,195926;19,87888;8,999991;0;9,729981;0
Subject #287;2,599;Audio;;;;;32,33559;76,01044;3,385324;21,07469;8,999991;0;9,729981;0
Subject #287;2,701;Audio;;;;;32,33559;76,01044;3,576063;22,27897;8,999991;0;9,729981;0
Subject #287;2,816;Audio;;;;;32,33559;76,01044;3,7925;23,6455;8,999991;0;9,729981;0
Subject #287;2,935;Audio;;;;;32,33559;76,01044;4,014468;25,04696;8,999991;0;9,729981;0
Subject #287;3,036;Audio;;;;;32,33559;76,01044;4,204881;26,24918;8,999991;0;9,729981;0
Subject #287;3,142;Audio;;;;;32,33559;76,01044;4,404545;27,50981;8,999991;0;9,729981;0
Subject #287;3,257;Audio;;;;;32,33559;76,01044;4,618799;28,86255;8,999991;0;9,729981;0
Subject #287;3,377;Audio;;;;;32,33559;76,01044;4,839379;30,25524;8,999991;358,8708;9,730123;358,8709
Subject #287;3,492;Audio;;;;;32,33559;76,01044;5,059267;31,64356;8,999991;346,6442;9,750271;346,6453
Subject #287;3,622;Audio;Right;Task Started;Right;Task Started;;;5,293722;33,12386;8,999991;342,5328;9,765265;342,5343
Subject #287;3,727;Audio;Right;;Right;;;;5,479978;34,29983;8,999991;342,5328;9,765265;342,5343
Subject #287;3,829;Audio;Right;;Right;;;;5,665109;35,4687;8,999991;342,5328;9,765265;342,5343
Subject #287;3,960;Audio;Right;;Right;;;;5,898207;36,94042;8,999991;342,5328;9,765265;342,5343
Subject #287;4,063;Audio;Right;;Right;;;;6,084045;38,11376;8,999991;342,5328;9,765265;342,5343
Subject #287;4,169;Audio;Right;;Right;;;;6,272128;39,30127;8,999991;342,5328;9,765265;342,5343
Subject #287;4,273;Audio;Right;;Right;;;;6,458092;40,47541;8,999992;337,2541;9,791533;337,256
