SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskYPos;MainTaskZPos;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #159;0,003;Heat;;;;FeedbackRequest successful;;;;0,5524482;0,001899719;3,188597;8,999991;0;296,3435;351,5948
Subject #159;0,111;Smell;;;;;;;;0,6690588;0,001899719;3,924848;8,999991;0;296,3336;351,5888
Subject #159;0,213;Smell;;;;;;;;0,7857834;0,001899719;4,661819;8,999991;0;296,3421;351,5901
Subject #159;0,323;Smell;;;;;;;;0,9227592;0,001899719;5,526652;8,999991;0;296,3387;351,5988
Subject #159;0,424;Smell;;;;;;;;1,057733;0,001899719;6,378842;8,999991;0;296,3453;351,5876
Subject #159;0,524;Smell;;;;;;;;1,201965;0,001899719;7,28949;8,999991;0;296,3468;351,579
Subject #159;0,625;Smell;;;;;;;;1,355798;0,001899719;8,260751;8,999991;0;296,3425;351,5882
Subject #159;0,725;Smell;;;;;;;;1,519426;0,001899719;9,293857;8,999991;0;296,3378;351,5933
Subject #159;0,826;Smell;;;;;;;;1,692066;0,001899719;10,38387;8,999991;0;296,335;351,5947
Subject #159;0,926;Smell;;;;;;;;1,874262;0,001899719;11,53421;8,999991;0;296,3357;351,5958
Subject #159;1,027;Smell;;;;;;;;2,063026;0,001899719;12,72602;8,999991;0;296,3409;351,592
Subject #159;1,127;Smell;;;;;;;;2,251618;0,001899719;13,91674;8,999991;0;296,3383;351,5835
Subject #159;1,228;Smell;;;;;;;;2,440514;0,001899719;15,10938;8,999991;0;296,331;351,5947
Subject #159;1,329;Smell;;;;;;;;2,629357;0,001899719;16,30169;8,999991;0;296,3455;351,5944
Subject #159;1,429;Smell;;;;;;;;2,818087;0,001899719;17,49329;8,999991;0;296,3368;351,5866
Subject #159;1,530;Smell;;;;;;;;3,006606;0,001899719;18,68356;8,999991;0;296,3345;351,6021
Subject #159;1,630;Smell;;;;;;;;3,195346;0,001899719;19,87521;8,999991;0;296,3308;351,5973
Subject #159;1,731;Smell;;;;;;;;3,384006;0,001899719;21,06636;8,999991;0;296,3351;351,5886
Subject #159;1,831;Smell;;;;;;;;3,572794;0,001899719;22,25833;8,999991;0;296,3391;351,5884
Subject #159;1,932;Smell;;;;;;;;3,761519;0,001899719;23,4499;8,999991;0;296,3322;351,5904
Subject #159;2,032;Smell;;;;;;;;3,95022;0,001899719;24,64131;8,999991;0;296,3319;351,5996
Subject #159;2,133;Smell;;;;;;;;4,138892;0,001899719;25,83253;8,999991;0;296,3314;351,5977
Subject #159;2,233;Smell;;;;;;;;4,327559;0,001899719;27,02374;8,999991;0;296,33;351,5946
Subject #159;2,334;Smell;;;;;;;;4,516335;0,001899719;28,21562;8,999991;0;296,3407;351,601
Subject #159;2,434;Smell;;;;;;;;4,70502;0,001899719;29,40694;8,999991;0;296,3474;351,5865
Subject #159;2,535;Smell;;;;;;;;4,894038;0,001899719;30,60035;8,999991;0;296,3375;351,5977
Subject #159;2,636;Smell;;;;;;;;5,0827;0,001899719;31,79152;8,999991;0;296,3322;351,6118
Subject #159;2,736;Smell;;;;;;;;5,27144;0,001899719;32,98318;8,999991;0;296,3375;351,6037
Subject #159;2,837;Smell;;;;;;;;5,460391;0,001899719;34,17617;8,999991;0;296,3274;351,5982
Subject #159;2,937;Smell;;;;;;;;5,648671;0,001899719;35,36493;8,999991;0;296,3359;351,5938
Subject #159;3,038;Smell;;;;;;;;5,837447;0,001899719;36,55681;8,999991;0;296,3286;351,6013
Subject #159;3,138;Smell;;;;;;;;6,026249;0,001899719;37,74886;8,999991;0;296,334;351,6064
Subject #159;3,239;Smell;;;;;;;;6,215466;0,001899719;38,94353;8,999991;0;296,3365;351,5956
Subject #159;3,340;Smell;;;;;;;;6,404044;0,001899719;40,13416;8,999991;0;296,3353;351,5996
