SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskYPos;MainTaskZPos;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #309;0,022;Heat;;;;;;;;0,1787688;0,001899719;0,8292762;8,999991;0;9,729981;0
Subject #309;0,164;Audio;;Task Spawned;;;;;;0,2724285;0,001899719;1,420621;8,999991;0;9,729981;0
Subject #309;0,271;Audio;;;;;;;;0,3512535;0,001899719;1,918303;8,999991;0;9,729981;0
Subject #309;0,377;Audio;;;;;;;;0,4399276;0,001899719;2,47817;8,999991;0;9,729981;0
Subject #309;0,478;Audio;;;;;;;;0,5341161;0,001899719;3,072853;8,999991;0;9,729981;0
Subject #309;0,586;Audio;;;;;;;;0,6448361;0,001899719;3,771912;8,999991;0;9,729981;0
Subject #309;0,690;Audio;;;;;;;;0,7632461;0,001899719;4,519523;8,999991;0;9,729981;0
Subject #309;0,797;Audio;;;;;;;;0,8937665;0,001899719;5,343598;8,999991;0;9,729981;0
Subject #309;0,901;Audio;;;;;;;;1,032374;0,001899719;6,218729;8,999991;0;9,729981;0
Subject #309;1,004;Audio;;;;;;;;1,179296;0,001899719;7,146365;8,999991;0;9,729981;0
Subject #309;1,106;Audio;;;;;;;;1,335143;0,001899719;8,130342;8,999991;0;9,729981;0
Subject #309;1,214;Audio;;;;;;;;1,50935;0,001899719;9,230245;8,999991;0;9,729981;0
Subject #309;1,321;Audio;;;;;;;;1,692544;0,001899719;10,38689;8,999991;0;9,729981;0
Subject #309;1,423;Audio;;;;;;;;1,877858;0,001899719;11,55692;8,999991;0;9,729981;0
Subject #309;1,523;Audio;;;;;;;;2,06663;0,001899719;12,74878;8,999991;0;9,729981;0
Subject #309;1,629;Audio;;;;;;;;2,265903;0,001899719;14,00694;8,999991;0;9,729981;0
Subject #309;1,734;Audio;;;;;;;;2,461549;0,001899719;15,2422;8,999991;0;9,729981;0
Subject #309;1,834;Audio;;;;;;;;2,65076;0,001899719;16,43684;8,999991;0;9,729981;0
Subject #309;1,938;Audio;;;;;;;;2,845214;0,001899719;17,66457;8,999991;0;9,729981;0
Subject #309;2,045;Audio;;;;;;;;3,046441;0,001899719;18,93507;8,999991;0;9,729981;0
Subject #309;2,146;Audio;;;;;;;;3,236689;0,001899719;20,13625;8,999991;0;9,729981;0
Subject #309;2,252;Audio;;;;;;;;3,435447;0,001899719;21,39116;8,999991;0;9,729981;0
Subject #309;2,356;Audio;;;;;;;;3,629945;0,001899719;22,61917;8,999991;0;9,729981;0
Subject #309;2,459;Audio;;;;;;;;3,823734;0,001899719;23,84271;8,999991;0;9,729981;0
Subject #309;2,565;Audio;;;;;;;;4,023207;0,001899719;25,10214;8,999991;0;9,729981;0
Subject #309;2,670;Audio;;;;;;;;4,220919;0,001899719;26,35044;8,999991;0;9,729981;0
Subject #309;2,772;Audio;;;;;;;;4,410043;0,001899719;27,54454;8,999991;0;9,729981;0
Subject #309;2,872;Audio;;;;;;;;4,598619;0,001899719;28,73516;8,999991;0;9,729981;0
Subject #309;2,973;Audio;;;;;;;;4,788435;0,001899719;29,93361;8,999991;0;9,729981;0
Subject #309;3,077;Audio;;;;;;;;4,983354;0,001899719;31,16429;8,999991;0;9,729981;0
Subject #309;3,179;Audio;;;;;;;;5,174601;0,001899719;32,37177;8,999991;0;9,729981;0
Subject #309;3,284;Audio;;;;;;;;5,372414;0,001899719;33,62071;8,999991;0;9,729981;0
Subject #309;3,390;Audio;;;;;;;;5,571146;0,001899719;34,87546;8,999991;0;9,729981;0
Subject #309;3,496;Audio;;;;;;;;5,77;0,001899719;36,13098;8,999991;0;9,729981;0
Subject #309;3,602;Audio;Left;Task Started;Right;Task Started;-6,997163;0,001899719;83,37137;5,969981;0,001899719;37,39361;8,999991;0;9,729981;0
Subject #309;3,710;Audio;Left;;Right;;-6,997163;0,001899719;83,37137;6,172021;0,001899719;38,66924;8,999991;0;9,729981;0
Subject #309;3,819;Audio;Left;;Right;;-6,997163;0,001899719;83,37137;6,375212;0,001899719;39,95214;8,999991;0;9,729981;0
Subject #309;3,920;Audio;Left;;Right;;-6,997163;0,001899719;83,37137;6,567379;0,001899719;41,16544;8,999991;0;9,729981;0
Subject #309;4,027;Audio;Left;;Right;;-6,997163;0,001899719;83,37137;6,7665;0,001899719;42,42263;8,999991;0;9,729981;0
