SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskYPos;MainTaskZPos;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #388;0,003;Heat;;;;;;;;8,023686;10,76713;31,49025;-0,0001153618;345,2303;2,443611;329,8729
Subject #388;0,111;Vibration;;;;;;;;8,023686;10,95239;32,19294;-0,0001153618;345,2303;24,11133;340,9748
Subject #388;0,212;Vibration;;;;;;;;8,023686;11,09972;32,75175;-0,0001153618;345,2303;37,06208;348,9094
Subject #388;0,312;Vibration;;;;;;;;8,023686;11,22893;33,24183;-0,0001153618;345,2303;47,49844;356,8488
Subject #388;0,412;Vibration;;;;;;;;8,023686;11,34007;33,66339;-0,0001153618;345,2303;56,58716;2,355406
Subject #388;0,513;Vibration;;;;;;;;8,023686;11,43347;34,01765;-0,0001153618;345,2303;64,20572;10,75424
Subject #388;0,614;Vibration;;;;;;;;8,023686;11,50877;34,30325;-0,0001153618;345,2303;68,73341;16,24758
Subject #388;0,714;Vibration;;;;;;;;8,023686;11,5659;34,51994;-0,0001153618;345,2303;73,1245;17,601
Subject #388;0,814;Vibration;;;;;;;;8,023686;11,60506;34,66847;-0,0001153618;345,2303;79,30403;15,31936
Subject #388;0,915;Vibration;;;;;;;;8,023686;11,62624;34,74883;-0,0001153618;345,2303;85,06125;14,56243
Subject #388;1,015;Vibration;;;;;;;;8,023686;11,63024;34,764;-0,0001153618;345,2303;89,67439;16,71183
Subject #388;1,116;Vibration;;;;;;;;8,023686;11,63024;34,764;-0,0001153618;345,2303;96,35144;19,05644
Subject #388;1,216;Vibration;;;;;;;;8,023686;11,63024;34,764;-0,0001153618;345,2303;100,593;19,73775
Subject #388;1,317;Vibration;;;;;;;;8,023686;11,63024;34,764;-0,0001153618;345,2303;102,6686;21,87738
Subject #388;1,418;Vibration;;;;;;;;8,023686;11,63024;34,764;-0,0001153618;345,2303;106,0694;27,28572
Subject #388;1,518;Vibration;;;;;;;;8,023686;11,63024;34,764;-0,0001153618;345,2303;106,14;31,62528
Subject #388;1,619;Vibration;;;;;;;;8,023686;11,63024;34,764;-0,0001153618;345,2303;104,6112;38,00161
Subject #388;1,719;Vibration;;;;;;;;8,023686;11,63024;34,764;-0,0001153618;345,2303;105,6478;40,16169
Subject #388;1,821;Vibration;;;;;;;;8,023686;11,63024;34,764;-0,0001153618;345,2303;109,055;45,04277
Subject #388;1,931;Vibration;;;;;;;;8,023686;11,63024;34,764;-0,0001153618;345,2303;119,5532;56,64621
Subject #388;2,032;Vibration;;;;;;;;8,023686;11,63024;34,764;-0,0001153618;345,2303;119,9345;52,87712
Subject #388;2,132;Vibration;;;;;;;;8,023686;11,63024;34,764;-0,0001153618;345,2303;121,6823;41,17776
