SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskYPos;MainTaskZPos;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #273;0,003;Heat;;;;;;;;0,5536276;0,0004723795;3,191459;9,018129;0,03697156;355,2583;346,21
Subject #273;0,111;Heat;;;;;;;;0,6699787;-2,657936E-05;3,924633;9,015834;0,0406301;352,3214;351,7157
Subject #273;0,213;Heat;;;;;;;;0,7864973;-0,0005698452;4,659155;9,01286;0,04385947;354,2702;353,6372
Subject #273;0,313;Heat;;;;Task Started;;;;0,9109059;-0,001204955;5,443459;9,015347;0,04849434;354,364;356,2553
Subject #273;0,413;Heat;;;;;;;;1,045188;-0,001957532;6,28927;9,02659;0,05275367;358,9538;1,962081
Subject #273;0,514;Heat;;;;;;;;1,189168;-0,002840841;7,195174;9,037642;0,05794643;9,029629;3,950571
Subject #273;0,615;Heat;;;;;;;;1,342929;-0,003856217;8,161164;9,049679;0,06130458;17,4673;356,5634
Subject #273;0,715;Heat;;;;;;;;1,506069;-0,004984803;9,184976;9,058723;0,06415843;18,60048;354,4567
Subject #273;0,816;Heat;;;;;;;;1,679492;-0,006265735;10,27218;9,068573;0,0690186;15,69285;353,7154
Subject #273;0,916;Heat;;;;;;;;1,861993;-0,007681;11,41535;9,072702;0,07153986;11,69155;351,1915
Subject #273;1,017;Heat;;;;;;;;2,052393;-0,009219758;12,60749;9,076703;0,07472631;7,292086;339,2576
Subject #273;1,117;Heat;;;;;;;;2,242498;-0,01082381;13,79737;9,077765;0,07972597;6,663419;343,4992
Subject #273;1,218;Heat;;;;;;;;2,432686;-0,01255369;14,98767;9,08035;0,08544444;7,358193;347,3782
Subject #273;1,319;Heat;;;;;;;;2,623514;-0,01442573;16,18144;9,083891;0,0920105;2,368654;347,5988
Subject #273;1,419;Heat;;;;;;;;2,814272;-0,01641596;17,37428;9,087022;0,096935;1,347988;345,8026
Subject #273;1,519;Heat;;;;;;;;3,004159;-0,018508;18,56128;9,091356;0,1022672;2,648062;347,3399
Subject #273;1,620;Heat;;;;;;;;3,194992;-0,02071065;19,7536;9,095475;0,1078999;6,25594;350,2271
Subject #273;1,720;Heat;;;;;;;;3,385409;-0,02304436;20,94289;9,097859;0,1139939;8,072273;353,726
Subject #273;1,821;Heat;;;;;;;;3,576342;-0,02551179;22,13498;9,102417;0,1203561;7,424451;353,7517
Subject #273;1,921;Heat;;;;;;;;3,767114;-0,02811087;23,32526;9,109701;0,1278555;7,207484;353,9607
Subject #273;2,022;Heat;;;;;;;;3,958266;-0,03088776;24,51685;9,118123;0,1364278;6,222601;353,3221
Subject #273;2,123;Heat;;;;;;;;4,149693;-0,03383467;25,70902;9,128432;0,1440989;7,53109;352,3405
Subject #273;2,223;Heat;;;;;;;;4,340886;-0,0369439;26,89842;9,136833;0,1528858;7,328553;353,1859
Subject #273;2,324;Heat;;;;;;;;4,53264;-0,04023775;28,09007;9,145682;0,1606749;6,976377;353,6834
Subject #273;2,424;Heat;;;;;;;;4,724501;-0,04369695;29,28149;9,150846;0,1683675;7,737594;354,9797
Subject #273;2,525;Heat;;;;;;;;4,916268;-0,04731883;30,47165;9,155362;0,1772939;5,115441;353,2587
Subject #273;2,625;Heat;;;;;;;;5,108292;-0,05115021;31,66284;9,159707;0,1876043;5,032924;351,7136
Subject #273;2,726;Heat;;;;;;;;5,300487;-0,0551875;32,85449;9,16507;0,1962518;4,731154;350,5152
Subject #273;2,826;Heat;;;;;;;;5,492694;-0,0593924;34,04536;9,172484;0,2038585;6,210581;351,8058
Subject #273;2,927;Heat;;;;;;;;5,685093;-0,06375103;35,23647;9,179219;0,2107357;6,8436;352,3226
Subject #273;3,027;Heat;;;;;;;;5,877563;-0,06824695;36,42716;9,184799;0,2169048;9,751547;353,5616
Subject #273;3,128;Heat;Right;Task Started;Right;;10,13423;1,497336;117,1918;6,070858;-0,07287285;37,62259;9,185355;0,2222585;29,02252;355,8096
Subject #273;3,232;Heat;Right;;Right;;10,13423;1,497336;117,1918;6,262582;-0,07758997;38,80809;9,188349;0,2281487;65,14235;357,4594
Subject #273;3,340;Heat;Right;;Right;;10,13423;1,497336;117,1918;6,476693;-0,08298438;40,13138;9,193831;0,2333308;97,35581;4,864861
