SubjectId;Timestamp;FeedbackType;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
14;0.005;Heat;0.897453;0.001899719;5.366876;8.999991;0;77.39042;87.52725
14;0.111;Smell;1.068176;0.001899719;6.444778;8.999991;0;78.6003;87.54011
14;0.223;Smell;1.217803;0.001899719;7.389489;8.999991;0;78.78481;87.53717
14;0.323;Smell;1.334439;0.001899719;8.125899;8.999991;0;78.8225;87.5425
14;0.426;Smell;1.43654;0.001899719;8.770542;8.999991;0;77.82006;87.49228
14;0.537;Smell;1.52784;0.001899719;9.346991;8.999991;0;79.61084;87.53638
14;0.637;Smell;1.593114;0.001899719;9.759112;8.999991;0;78.45714;87.49908
14;0.738;Smell;1.641835;0.001899719;10.06673;8.999991;0;79.19372;87.53272
14;0.838;Smell;1.673936;0.001899719;10.2694;8.999991;0;79.69493;87.53296
14;0.941;Smell;1.689609;0.001899719;10.36836;8.999991;0;78.95635;87.50645
14;1.050;Smell;1.691116;0.001899719;10.37788;8.999991;0;80.71748;87.57101
14;1.151;Smell;1.691116;0.001899719;10.37788;8.999991;0;78.38992;87.47556
14;1.252;Smell;1.691116;0.001899719;10.37788;8.999991;0;80.59521;87.54887
14;1.353;Smell;1.691116;0.001899719;10.37788;8.999991;0;79.23752;87.50809
14;1.454;Smell;1.691116;0.001899719;10.37788;8.999991;0;80.77681;87.53693
14;1.564;Smell;1.691116;0.001899719;10.37788;8.999991;0;80.77277;87.529
14;1.665;Smell;1.691116;0.001899719;10.37788;8.999991;0;62.14189;83.52229
14;1.765;Smell;1.691116;0.001899719;10.37788;8.999991;0;274.9489;70.92578
14;1.866;Smell;1.691116;0.001899719;10.37788;8.999991;0;210.7792;59.17136
14;1.978;Smell;1.691116;0.001899719;10.37788;8.999991;0;186.7109;56.7957
14;2.078;Smell;1.691116;0.001899719;10.37788;8.999991;0;164.1527;55.27526
14;2.179;Smell;1.691116;0.001899719;10.37788;8.999991;0;168.4713;49.59211
14;2.279;Smell;1.691116;0.001899719;10.37788;8.999991;0;174.3307;52.68767
14;2.380;Smell;1.691116;0.001899719;10.37788;8.999991;0;172.7448;60.75507
14;2.480;Smell;1.691116;0.001899719;10.37788;8.999991;0;177.0693;64.51757
14;2.581;Smell;1.691116;0.001899719;10.37788;8.999991;0;166.6369;61.63867
14;2.681;Smell;1.691116;0.001899719;10.37788;8.999991;0;138.1819;60.18361
14;2.782;Smell;1.691116;0.001899719;10.37788;8.999991;0;102.5085;56.15569
14;2.882;Smell;1.691116;0.001899719;10.37788;8.999991;0;87.21867;46.34164
14;2.983;Smell;1.691116;0.001899719;10.37788;8.999991;0;79.07963;41.72374
14;3.083;Smell;1.691116;0.001899719;10.37788;8.999991;0;62.61953;34.42032
14;3.184;Smell;1.691116;0.001899719;10.37788;8.999991;0;47.38668;25.74731
14;3.284;Smell;1.691116;0.001899719;10.37788;8.999991;0;34.5819;28.04442
14;3.385;Smell;1.691116;0.001899719;10.37788;8.999991;0;41.97704;48.80525
14;3.485;Smell;1.691116;0.001899719;10.37788;8.999991;0;50.62791;43.05296
14;3.586;Smell;1.691116;0.001899719;10.37788;8.999991;0;90.28909;43.31074
14;3.686;Smell;1.691116;0.001899719;10.37788;8.999991;0;128.5056;47.25978
14;3.787;Smell;1.691116;0.001899719;10.37788;8.999991;0;168.6196;44.05278
14;3.888;Smell;1.691116;0.001899719;10.37788;8.999991;0;183.8835;51.63522
14;3.988;Smell;1.691116;0.001899719;10.37788;8.999991;0;194.3887;60.89765
14;4.089;Smell;1.691116;0.001899719;10.37788;8.999991;0;207.7066;59.53196
14;4.189;Smell;1.691116;0.001899719;10.37788;8.999991;0;212.2298;59.56467
14;4.290;Smell;1.691116;0.001899719;10.37788;8.999991;0;206.2956;61.86612
14;4.390;Smell;1.691116;0.001899719;10.37788;8.999991;0;176.389;65.98209
14;4.491;Smell;1.691116;0.001899719;10.37788;8.999991;0;143.9629;60.51744
14;4.591;Smell;1.691116;0.001899719;10.37788;8.999991;0;127.3963;51.88673
14;4.692;Smell;1.691116;0.001899719;10.37788;8.999991;0;121.0076;50.07999
14;4.792;Smell;1.691116;0.001899719;10.37788;8.999991;0;128.0255;58.08118
14;4.893;Smell;1.691116;0.001899719;10.37788;8.999991;0;153.3942;62.76994
14;4.993;Smell;1.691116;0.001899719;10.37788;8.999991;0;173.9023;58.34766
14;5.094;Smell;1.691116;0.001899719;10.37788;8.999991;0;174.9834;57.21489
14;5.195;Smell;1.691116;0.001899719;10.37788;8.999991;0;155.4401;60.09489
14;5.295;Smell;1.691116;0.001899719;10.37788;8.999991;0;135.593;54.82101
14;5.395;Smell;1.691116;0.001899719;10.37788;8.999991;0;124.2745;49.02736
14;5.496;Smell;1.691116;0.001899719;10.37788;8.999991;0;108.6368;54.33126
