SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskYPos;MainTaskZPos;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #246;0,003;Heat;;;;;;;;0,5416497;0,001899719;3,120418;8,999991;0;30,47847;351,168
Subject #246;0,111;Smell;;;;;;;;0,6566502;0,001899719;3,846503;8,999991;0;30,47301;351,1886
Subject #246;0,212;Smell;;;;;;;;0,7705765;0,001899719;4,565805;8,999991;0;30,4811;351,1742
Subject #246;0,315;Smell;;;;;;;;0,8970268;0,001899719;5,364182;8,999991;0;30,47084;351,1783
Subject #246;0,415;Smell;;;;;;;;1,030107;0,001899719;6,204421;8,999991;0;30,46963;351,1832
Subject #246;0,516;Smell;;;;;;;;1,172545;0,001899719;7,103737;8,999991;0;30,47306;351,1928
Subject #246;0,617;Smell;;;;;;;;1,325027;0,001899719;8,066469;8,999991;0;30,46875;351,1759
Subject #246;0,717;Smell;;;;Task Started;;;;1,48608;0,001899719;9,083318;8,999991;0;30,46579;351,187
Subject #246;0,817;Smell;;;;;;;;1,657038;0,001899719;10,16271;8,999991;0;30,46807;351,1743
Subject #246;0,919;Smell;;;;;;;;1,839813;0,001899719;11,3167;8,999991;0;30,46635;351,1855
Subject #246;1,019;Smell;;;;;;;;2,027394;0,001899719;12,50104;8,999991;0;30,46913;351,1775
Subject #246;1,131;Smell;;;;;;;;2,236584;0,001899719;13,82182;8,999991;0;30,47306;351,1791
Subject #246;1,231;Smell;;;;;;;;2,425215;0,001899719;15,01279;8,999991;0;30,47937;351,1768
Subject #246;1,332;Smell;;;;;;;;2,613188;0,001899719;16,1996;8,999991;0;30,48149;351,1979
Subject #246;1,432;Smell;;;;;;;;2,802288;0,001899719;17,39353;8,999991;0;30,4845;351,184
Subject #246;1,532;Smell;;;;;;;;2,990276;0,001899719;18,58045;8,999991;0;30,47885;351,1673
Subject #246;1,633;Smell;;;;;;;;3,178895;0,001899719;19,77135;8,999991;0;30,48807;351,1643
Subject #246;1,733;Smell;;;;;;;;3,367663;0,001899719;20,96318;8,999991;0;30,49021;351,1719
Subject #246;1,834;Smell;;;;;;;;3,556176;0,001899719;22,1534;8,999991;0;30,48758;351,1762
Subject #246;1,934;Smell;;;;;;;;3,745001;0,001899719;23,3456;8,999991;0;30,48073;351,1819
Subject #246;2,035;Smell;;;;;;;;3,933742;0,001899719;24,53726;8,999991;0;30,48223;351,195
