SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;EventInfo;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #146;50.735;Audio;None;;None;;;1.724.186;1.793.088;1.724.186;1.793.088
Subject #146;50.843;Audio;None;;None;;;1.772.888;673.064;1.772.888;673.064
Subject #146;50.954;Audio;None;;None;;;1.785.957;5.653.762;1.785.957;5.653.762
Subject #146;51.054;Audio;None;;None;;;1.867.507;3.588.296;1.867.507;3.588.296
Subject #146;51.170;Audio;None;;None;;;1.975.322;3.499.463;1.975.322;3.499.463
Subject #146;51.278;Audio;None;;None;;;2.068.618;3.428.718;2.068.618;3.428.718
Subject #146;51.383;Audio;None;;None;;;2.081.593;3.419.538;2.081.593;3.419.538
Subject #146;51.486;Audio;None;;None;;;2.081.593;3.419.538;2.081.593;3.419.538
Subject #146;51.597;Audio;None;;None;;;2.068.196;3.429.019;2.068.196;3.429.019
Subject #146;51.710;Audio;None;;None;;;1.924.306;3.451.913;1.924.306;3.451.913
Subject #146;51.812;Audio;None;;None;;;1.745.338;3.446.256;1.745.338;3.446.256
Subject #146;51.927;Audio;None;;None;;;1.543.184;3.457.747;1.543.184;3.457.747
Subject #146;52.028;Audio;None;;None;;;1.368.696;3.482.271;1.368.696;3.482.271
Subject #146;52.129;Audio;None;;None;;;1.198.869;3.517.551;1.198.869;3.517.551
Subject #146;52.249;Audio;Left;;Left;;;1.078.679;3.547.877;1.078.679;3.547.877
Subject #146;52.359;Audio;Left;;Left;;;1.092.389;3.599.304;1.092.389;3.599.304
Subject #146;52.461;Audio;Left;;Left;;;1.136.375;1.616.486;1.136.375;1.616.486
Subject #146;52.567;Audio;Left;;Left;;;1.191.512;333.767;1.191.512;333.767
Subject #146;52.672;Audio;Left;;Left;;;1.273.307;5.027.092;1.273.307;5.027.092
Subject #146;52.781;Audio;Left;;Left;;;1.346.435;5.886.083;1.346.435;5.886.083
Subject #146;52.892;Audio;Left;;Left;;;1.363.615;5.038.226;1.363.615;5.038.226
Subject #146;53.001;Audio;Left;;Left;;;1.266.235;3.570.825;1.266.235;3.570.825
Subject #146;53.106;Audio;Left;;Left;;;1.138.903;2.888.179;1.138.903;2.888.179
Subject #146;53.216;Audio;Left;;Left;;;1.026.799;2.280.274;1.026.799;2.280.274
Subject #146;53.317;Audio;Left;;Left;;;1.012.471;2.191.888;1.012.471;2.191.888
Subject #146;53.434;Audio;Left;;Left;;;1.088.659;1.573.898;1.088.659;1.573.898
Subject #146;53.536;Audio;Left;;Left;;;125.487;107.559;125.487;107.559
Subject #146;53.641;Audio;Left;;Left;;;1.424.631;5.007.396;1.424.631;5.007.396
Subject #146;53.742;Audio;Left;;Left;;;1.585.921;358.964;1.585.921;358.964
Subject #146;53.853;Audio;Left;;Left;;;1.743.589;3.564.368;1.743.589;3.564.368
Subject #146;53.961;Audio;Left;;Left;;;1.806.909;359.252;1.806.909;359.252
Subject #146;54.076;Audio;Left;;Left;;;1.806.909;359.252;1.806.909;359.252
Subject #146;54.188;Audio;Left;;Left;;;1.832.168;3.538.954;1.832.168;3.538.954
Subject #146;54.292;Audio;Left;;Left;;;1.887.463;3.426.969;1.887.463;3.426.969
Subject #146;54.401;Audio;Left;;Left;;;1.930.339;3.349.087;1.930.339;3.349.087
Subject #146;54.503;Audio;Left;;Left;;;193.108;3.347.823;193.108;3.347.823
Subject #146;54.607;Audio;Left;;Left;;;193.108;3.347.823;193.108;3.347.823
Subject #146;54.710;Audio;Left;;Left;;;1.819.718;3.383.647;1.819.718;3.383.647
Subject #146;54.827;Audio;Left;;Left;;;1.629.895;3.467.189;1.629.895;3.467.189
