SubjectName,Timestamp,FeedbackType,ActionType,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #85,0.003,Heat,No Action,no event,0,0,148.4226,30.92957
Subject #85,0.111,Audio,No Action,no event,0,0,148.075,30.96214
Subject #85,0.212,Audio,No Action,no event,0,0,148.3203,30.9983
Subject #85,0.312,Audio,No Action,no event,0,0,148.3434,30.7721
Subject #85,0.413,Audio,No Action,no event,0,0,147.6995,30.65483
Subject #85,0.513,Audio,No Action,no event,0,0,147.5161,31.23921
Subject #85,0.614,Audio,No Action,no event,0,0,148.8702,30.85673
Subject #85,0.717,Audio,No Action,no event,0,0,148.9543,30.94618
Subject #85,0.862,Audio,No Action,no event,0,0,149.5418,31.40962
Subject #85,0.964,Audio,No Action,no event,0,0,147.9055,31.39353
Subject #85,1.064,Audio,No Action,no event,0,0,148.3912,31.10244
Subject #85,1.165,Audio,No Action,no event,0,0,149.1598,31.64687
Subject #85,1.266,Audio,No Action,no event,0,0,149.393,31.25975
Subject #85,1.369,Audio,No Action,no event,0,0,149.0395,31.56301
Subject #85,1.478,Audio,No Action,no event,0,0,149.3798,31.51719
Subject #85,1.588,Audio,No Action,no event,0,0,149.8153,31.6461
Subject #85,1.689,Audio,No Action,no event,0,0,150.5195,31.62942
Subject #85,1.789,Audio,No Action,no event,0,0,150.1288,32.0177
Subject #85,1.889,Audio,No Action,no event,0,0,149.5845,31.78078
Subject #85,1.990,Audio,No Action,no event,0,0,150.6257,34.9896
Subject #85,2.090,Audio,No Action,no event,0,0,150.8865,31.8778
Subject #85,2.191,Audio,No Action,no event,0,0,148.7882,30.99704
Subject #85,2.292,Audio,No Action,no event,0,0,149.8403,31.43861
Subject #85,2.392,Audio,No Action,no event,0,0,149.9289,31.2411
Subject #85,2.493,Audio,No Action,no event,0,0,149.7756,31.08688
Subject #85,2.593,Audio,No Action,no event,0,0,151.1554,31.66508
Subject #85,2.694,Audio,No Action,no event,0,0,153.9568,33.82656
Subject #85,2.795,Audio,No Action,no event,0,0,157.3923,36.17158
Subject #85,2.896,Audio,No Action,no event,0,0,162.6699,39.41418
Subject #85,3.007,Audio,No Action,no event,0,0,167.6035,41.90926
Subject #85,3.107,Audio,No Action,no event,0,0,170.1492,43.00106
Subject #85,3.208,Audio,No Action,no event,0,0,172.1174,43.76844
Subject #85,3.308,Audio,No Action,no event,0,0,174.0128,45.0696
Subject #85,3.409,Audio,No Action,no event,0,0,174.2981,46.1996
Subject #85,3.521,Audio,No Action,no event,0,0,173.0681,46.33708
Subject #85,3.621,Audio,No Action,no event,0,0,170.5604,46.49167
Subject #85,3.722,Audio,No Action,no event,0,0,167.2922,46.99592
