SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskZPos;PlayerXPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #263;0,020;Heat;;;;;;;-0,1;-0,6;9,72998;0;9,72998;0
Subject #263;0,160;Audio;;;;;;;-0,08377868;-0,5053995;9,72998;0;9,72998;0
Subject #263;0,287;Audio;;;;;;;-0,03609819;-0,2273333;9,72998;0;9,72998;0
Subject #263;0,419;Audio;;;;;;;0,03040996;0,1605332;9,72998;0;9,72998;0
Subject #263;0,521;Audio;;;;;;;0,09189408;0,5191002;9,72998;0;9,72998;0
Subject #263;0,654;Audio;;;;;;;0,191019;1,097183;9,72998;0;9,72998;0
Subject #263;0,784;Audio;;;;;;;0,3050012;1,761912;9,72998;0;9,72998;0
Subject #263;0,918;Audio;;;;;;;0,4405462;2,552392;9,72998;0;9,72998;0
Subject #263;1,052;Audio;;;;;;;0,5940339;3,447511;9,72998;0;9,72998;0
Subject #263;1,152;Audio;;;;;;;0,7209271;4,187535;9,72998;0;9,72998;0
Subject #263;1,287;Audio;;;;;;;0,9066608;5,270709;9,72998;0;9,72998;0
Subject #263;1,418;Audio;;;;;;;1,106143;6,434063;9,72998;0;9,72998;0
Subject #263;1,520;Audio;;;;;;;1,271794;7,400118;9,72998;0;9,72998;0
Subject #263;1,652;Audio;;;;;;;1,504089;8,754829;9,72998;0;9,72998;0
Subject #263;1,784;Audio;;;;;;;1,753759;10,21087;9,72998;0;9,72998;0
Subject #263;1,917;Audio;;;;;;;2,022309;11,77702;9,72998;0;9,72998;0
Subject #263;2,017;Audio;;;;;;;2,225406;12,96145;9,72998;0;9,72998;0
Subject #263;2,150;Audio;;;;;;;2,494233;14,52921;9,72998;0;9,72998;0
Subject #263;2,254;Audio;;;;;;;2,703882;15,75186;9,72998;0;9,72998;0
Subject #263;2,383;Audio;;;;;;;2,967269;17,2879;9,72998;0;9,72998;0
Subject #263;2,516;Audio;;;;;;;3,237675;18,86487;9,72998;0;9,72998;0
Subject #263;2,626;Audio;;;;;;;3,460527;20,16451;9,72998;0;9,72998;0
Subject #263;2,750;Audio;;;;;;;3,711685;21,62924;9,72998;0;9,72998;0
Subject #263;2,883;Audio;;;;;;;3,980262;23,19555;9,72998;0;9,72998;0
Subject #263;2,984;Audio;;;;;;;4,184524;24,38677;9,72998;0;9,72998;0
Subject #263;3,116;Audio;;;;;;;4,453242;25,9539;9,72998;0;9,72998;0
Subject #263;3,216;Audio;;;;;;;4,657127;27,14293;9,72998;0;9,72998;0
Subject #263;3,320;Audio;;;;;;;4,866282;28,3627;9,72998;0;9,72998;0
Subject #263;3,452;Audio;;;;;;;5,133411;29,92055;9,72998;0;9,72998;0
Subject #263;3,602;Audio;;;Right;Task Started;;;5,426849;31,63184;9,72998;0;9,72998;0
Subject #263;3,734;Audio;;;Right;;;;5,705468;33,25671;9,72998;0;9,72998;0
Subject #263;3,888;Audio;;;Right;;;;6,015345;35,06387;9,72998;0;9,72998;0
Subject #263;4,016;Audio;;;Right;;;;6,27981;36,60619;9,72998;0;9,72998;0
Subject #263;4,148;Audio;;;Right;;;;6,547132;38,16518;9,72998;0;9,72998;0
Subject #263;4,249;Audio;;;Right;;;;6,750504;39,35121;9,72998;0;9,72998;0
Subject #263;4,382;Audio;;;Right;;;;7,020272;40,92446;9,72998;0;9,72998;0
Subject #263;4,482;Audio;;;Right;;;;7,224159;42,1135;9,72998;0;9,72998;0
Subject #263;4,583;Audio;;;Right;;;;7,428145;43,30312;9,72998;0;9,72998;0
Subject #263;4,686;Audio;;;Right;;;;7,636786;44,51988;9,72998;0;9,72998;0
Subject #263;4,826;Audio;;;Right;;;;7,901458;46,0634;9,72998;0;9,72998;0
Subject #263;5,018;Audio;;;Right;;;;8,247909;48,08385;9,72998;0;9,72998;0
Subject #263;5,149;Audio;;;Right;;;;8,576817;50,002;9,72998;0;9,72998;0
Subject #263;5,250;Audio;;;Right;;;;8,780801;51,19161;9,72998;0;9,72998;0
Subject #263;5,389;Audio;;;Right;;;;9,06113;52,82645;9,72998;0;9,72998;0
Subject #263;5,524;Audio;;;Right;;;;9,335362;54,42573;9,72998;0;9,72998;0
Subject #263;5,681;Audio;;;Right;;;;9,65335;56,28018;9,72998;0;9,72998;0
Subject #263;5,813;Audio;;;Right;;;;9,92294;57,8524;9,72998;0;9,72998;0
Subject #263;5,949;Audio;;;Right;;;;10,19643;59,44733;9,72998;0;9,72998;0
Subject #263;6,083;Audio;;;Right;;;;10,46794;61,03074;9,72998;0;9,72998;0
Subject #263;6,213;Audio;;;Right;;;;10,73315;62,57745;9,72998;0;9,72998;0
Subject #263;6,350;Audio;;;Right;;;;11,01072;64,19621;9,72998;0;9,72998;0
Subject #263;6,482;Audio;;;Right;;;;11,27771;65,75324;9,72998;0;9,72998;0
Subject #263;6,649;Audio;;;Right;;;;11,61464;67,71818;9,72998;0;9,72998;0
Subject #263;6,813;Audio;;;Right;;;;11,95067;69,67783;9,72998;0;9,72998;0
Subject #263;6,914;Audio;;;Right;;;;12,15341;70,86016;9,72998;0;9,72998;0
Subject #263;7,045;Audio;;;Right;;;;12,42102;72,42086;9,72998;0;9,72998;0
Subject #263;7,182;Audio;;;Right;;;;12,69561;74,02225;9,72998;0;9,72998;0
Subject #263;7,313;Audio;;;Right;;;;12,9636;75,58512;9,72998;0;9,72998;0
Subject #263;7,445;Audio;;;Right;;;;13,23136;77,14668;9,72998;0;9,72998;0
Subject #263;7,579;Audio;;;Right;;;;13,50351;78,73379;9,72998;0;9,72998;0
Subject #263;7,715;Audio;;;Right;;;;13,77867;80,33848;9,72998;0;9,72998;0
Subject #263;7,846;Audio;;;Right;;;;14,04486;81,89085;9,72998;0;9,72998;0
Subject #263;7,982;Audio;;;Right;;;;14,3199;83,49488;9,72998;0;9,72998;0
