SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskYPos;MainTaskZPos;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #441;0,003;Heat;;;;;;;;0,8851684;0,001899719;5,289311;8,999991;0;353,8439;350,5025
Subject #441;0,111;Smell;;;;;;;;1,05412;0,001899719;6,356031;8,999991;0;353,8475;350,5095
Subject #441;0,223;Smell;;;;;;;;1,202911;0,001899719;7,295459;8,999991;0;353,8516;350,5027
Subject #441;0,324;Smell;;;;;;;;1,320339;0,001899719;8,036877;8,999991;0;353,8763;350,4963
Subject #441;0,425;Smell;;;;;;;;1,420163;0,001899719;8,667142;8,999991;0;353,878;350,4995
Subject #441;0,536;Smell;;;;;;;;1,511047;0,001899719;9,24096;8,999991;0;353,8938;350,51
Subject #441;0,637;Smell;;;;;;;;1,576623;0,001899719;9,65499;8,999991;0;353,8913;350,5156
Subject #441;0,749;Smell;;;;;;;;1,629301;0,001899719;9,987584;8,999991;0;353,9099;350,4502
Subject #441;0,850;Smell;;;;;;;;1,659603;0,001899719;10,1789;8,999991;0;353,9093;350,4509
Subject #441;0,950;Smell;;;;;;;;1,673284;0,001899719;10,26528;8,999991;0;353,9044;350,4796
Subject #441;1,050;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,673;350,5058
Subject #441;1,151;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,665;350,495
Subject #441;1,252;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,6639;350,4897
Subject #441;1,353;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,663;350,4948
Subject #441;1,453;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,6695;350,4962
Subject #441;1,554;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,6616;350,5116
Subject #441;1,654;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,6674;350,5349
Subject #441;1,754;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,6753;350,5232
Subject #441;1,855;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,6789;350,5253
Subject #441;1,955;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,6892;350,5293
Subject #441;2,055;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,6898;350,5242
Subject #441;2,157;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,6923;350,4978
Subject #441;2,268;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7054;350,4894
Subject #441;2,372;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7021;350,497
Subject #441;2,481;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7125;350,4883
Subject #441;2,581;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7117;350,4946
Subject #441;2,682;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7244;350,4934
Subject #441;2,782;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7326;350,5138
Subject #441;2,894;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7393;350,4873
Subject #441;2,994;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7314;350,4808
Subject #441;3,094;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7499;350,4985
Subject #441;3,196;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,748;350,5001
Subject #441;3,324;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7506;350,5115
Subject #441;3,429;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7586;350,5011
Subject #441;3,531;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7591;350,5071
Subject #441;3,642;Smell;;;;;;;;1,674101;0,001899719;10,27044;8,999991;0;353,7576;350,5088
Subject #441;3,742;Smell;;;;;;;;1,675938;0,001899719;10,28204;8,999991;0;353,7575;350,5143
Subject #441;3,844;Smell;;;;;;;;1,691675;0,001899719;10,3814;8,999991;0;353,7593;350,5194
Subject #441;3,955;Smell;;;;;;;;1,727196;0,001899719;10,60567;8,999991;0;353,7639;350,5142
Subject #441;4,055;Smell;;;;;;;;1,776298;0,001899719;10,91569;8,999991;0;353,7645;350,5134
Subject #441;4,156;Smell;;;;;;;;1,841365;0,001899719;11,32651;8,999991;0;353,7652;350,5114
Subject #441;4,257;Smell;;;;;;;;1,921847;0,001899719;11,83465;8,999991;0;353,7765;350,5049
Subject #441;4,357;Smell;;;;;;;;2,018077;0,001899719;12,44222;8,999991;0;353,7728;350,5121
Subject #441;4,458;Smell;;;;;;;;2,130664;0,001899719;13,15307;8,999991;0;353,7646;350,514
Subject #441;4,559;Smell;;;;;;;;2,259133;0,001899719;13,9642;8,999991;0;353,7766;350,5079
Subject #441;4,666;Smell;;;;;;;;2,412898;0,001899719;14,93503;8,999991;0;353,7761;350,513
Subject #441;4,771;Smell;;;;;;;;2,581644;0,001899719;16,00045;8,999991;0;353,7744;350,5172
Subject #441;4,872;Smell;;;;;;;;2,758944;0,001899719;17,11988;8,999991;0;353,9171;350,4302
Subject #441;4,975;Smell;;;;;;;;2,958133;0,001899719;18,37751;8,999991;0;351,3918;350,3852
Subject #441;5,084;Smell;;;;;;;;3,185409;0,001899719;19,81247;8,999991;0;351,9112;350,2787
Subject #441;5,184;Smell;;;;;;;;3,411785;0,001899719;21,24175;8,999991;0;351,5954;350,4406
Subject #441;5,286;Smell;;;;;;;;3,655856;0,001899719;22,78276;8,999991;0;352,4524;348,9419
Subject #441;5,391;Smell;;;;;;;;3,923681;0,001899719;24,47374;8,999991;0;351,6654;350,1415
Subject #441;5,497;Smell;;;;;;;;4,214535;0,001899719;26,31012;8,999991;0;351,681;350,5807
Subject #441;5,598;Smell;;;;;;;;4,508025;0,001899719;28,16315;8,999991;0;351,9308;351,0227
Subject #441;5,711;Smell;;;;Task Started;;;;4,851902;0,001899719;30,3343;8,999991;0;356,443;350,9626
Subject #441;5,811;Smell;;;;;;;;5,166141;0,001899719;32,31833;8,999991;0;356,8046;350,5094
Subject #441;5,921;Smell;;;;;;;;5,511467;0,001899719;34,49864;8,999991;0;356,2952;347,5
Subject #441;6,032;Smell;;;;;;;;5,859497;0,001899719;36,69602;8,999991;0;353,7239;336,4219
Subject #441;6,133;Smell;;;;;;;;6,175672;0,001899719;38,69228;8,999991;0;352,9125;330,5837
Subject #441;6,234;Smell;;;;;;;;6,490091;0,001899719;40,67744;8,999991;0;352,9737;330,4829
Subject #441;6,345;Smell;;;;;;;;6,837907;0,001899719;42,87346;8,999991;0;353,5191;333,3892
Subject #441;6,447;Smell;;;;;;;;7,158601;0,001899719;44,89825;8,999991;0;353,1064;338,7296
Subject #441;6,557;Smell;;;;;;;;7,501024;0,001899719;47,06023;8,999991;0;353,2096;343,0845
