SubjectId;Timestamp;EventType;EventStatus;EventInfo;EventId
5;25.802;Ring;visible;(13.3, 0.0, 110.0);-28526
5;25.831;Ring;visible;(7.4, 0.0, 111.6);-28574
5;25.865;Ring;visible;(24.6, 0.0, 109.5);-28622
5;25.899;Ring;visible;(15.5, 0.0, 111.6);-28670
5;25.965;Ring;visible;(27.5, 0.0, 111.1);-28718
5;26.000;Ring;visible;(8.4, 0.0, 114.8);-28808
5;26.033;Ring;visible;(12.8, 0.0, 114.8);-28856
5;26.099;Ring;visible;(21.2, 0.0, 114.8);-28904
5;26.133;Ring;visible;(24.7, 0.0, 114.9);-28952
5;26.166;Ring;visible;(30.1, 0.0, 114.8);-29000
5;26.201;Ring;visible;(7.5, 0.0, 119.0);-29090
5;26.267;Ring;visible;(26.1, 0.0, 117.4);-29138
5;26.300;Ring;visible;(22.0, 0.0, 118.8);-29186
5;26.335;Ring;visible;(15.4, 0.0, 120.5);-29234
5;26.368;Ring;visible;(26.1, 0.0, 119.5);-29282
5;26.434;Ring;visible;(22.7, 0.0, 121.4);-29372
5;26.468;Ring;visible;(18.2, 0.0, 122.8);-29420
5;26.503;Ring;visible;(12.9, 0.0, 124.3);-29468
5;26.535;Ring;visible;(23.9, 0.0, 123.2);-29516
5;26.603;Ring;visible;(15.4, 0.0, 125.9);-29606
5;26.636;Ring;visible;(21.8, 0.0, 125.6);-29654
5;26.670;Ring;visible;(11.0, 0.0, 128.0);-29702
5;27.349;POV;visible;Right;-29792
5;27.807;POV;visible;Right;-29978
5;27.906;POV;visible;Middle;-30076
5;27.995;POV;visible;Left;-30174
5;28.074;POV;visible;Middle;-30312
5;28.130;POV;visible;Left;-30410
5;32.009;Ring;visible;(30.7, 0.0, 176.9);-30614
5;32.043;Ring;visible;(25.7, 0.0, 178.4);-30662
5;32.077;Ring;visible;(20.6, 0.0, 179.9);-30756
5;32.109;Ring;visible;(36.2, 0.0, 178.1);-30804
5;32.200;Ring;visible;(21.7, 0.0, 182.2);-30852
5;32.233;Ring;visible;(34.8, 0.0, 180.8);-30900
5;32.267;Ring;visible;(37.1, 0.0, 181.1);-30990
5;32.299;Ring;visible;(38.9, 0.0, 181.5);-31038
5;32.366;Ring;visible;(27.5, 0.0, 184.7);-31086
5;32.400;Ring;visible;(20.7, 0.0, 186.4);-31134
5;32.434;Ring;visible;(36.5, 0.0, 184.6);-31182
5;32.500;Ring;visible;(36.5, 0.0, 186.0);-31272
5;32.534;Ring;visible;(41.4, 0.0, 185.9);-31320
5;32.567;Ring;visible;(25.2, 0.0, 189.1);-31368
5;32.635;Ring;visible;(22.0, 0.0, 191.0);-31416
5;32.662;Ring;success;;-28670
5;32.672;Ring;visible;(28.0, 0.0, 190.8);-31506
5;32.703;Ring;visible;(40.5, 0.0, 189.4);-31556
5;32.758;Ring;visible;(26.4, 0.0, 192.8);-31604
5;32.825;Ring;visible;(20.5, 0.0, 195.0);-31652
5;32.861;Ring;visible;(22.2, 0.0, 195.5);-31742
5;32.864;Ring;success;;-28904
5;32.892;Ring;visible;(37.2, 0.0, 193.8);-31792
5;32.926;Ring;visible;(19.4, 0.0, 197.3);-31840
5;33.075;POV;timeout;;-29792
5;33.096;Ring;success;;-29186
5;33.230;Ring;success;;-29420
5;33.399;Ring;success;;-29654
5;33.533;POV;timeout;;-29978
5;33.571;POV;visible;Right;-32032
5;33.633;POV;timeout;;-30076
5;33.723;POV;timeout;;-30174
5;33.761;POV;visible;Left;-32178
5;33.801;POV;timeout;;-30312
5;33.856;POV;timeout;;-30410
5;34.219;POV;visible;Left;-32376
5;34.308;POV;visible;Middle;-32522
5;34.364;POV;visible;Right;-32620
5;34.442;POV;visible;Middle;-32718
5;34.516;Ring;timeout;;-28526
5;34.572;Ring;timeout;;-28574
5;34.605;Ring;timeout;;-28622
5;34.695;Ring;timeout;;-28718
5;34.728;Ring;timeout;;-28808
5;34.761;Ring;timeout;;-28856
5;34.862;Ring;timeout;;-28952
5;34.896;Ring;timeout;;-29000
5;34.929;Ring;timeout;;-29090
5;34.996;Ring;timeout;;-29138
5;35.063;Ring;timeout;;-29234
5;35.098;Ring;timeout;;-29282
5;35.163;Ring;timeout;;-29372
5;35.230;Ring;timeout;;-29468
5;35.264;Ring;timeout;;-29516
5;35.331;Ring;timeout;;-29606
5;35.398;Ring;timeout;;-29702
5;38.545;Ring;visible;(40.7, 0.0, 246.0);-33122
5;38.579;Ring;visible;(44.2, 0.0, 246.1);-33170
5;38.625;Ring;visible;(39.8, 0.0, 247.7);-33218
5;38.748;Ring;visible;(39.4, 0.0, 250.3);-33312
5;38.779;Ring;visible;(47.4, 0.0, 249.7);-33360
5;38.835;Ring;visible;(32.7, 0.0, 253.1);-33408
5;38.938;Ring;visible;(32.0, 0.0, 255.3);-33494
5;38.992;Ring;visible;(40.8, 0.0, 255.0);-33554
5;39.059;Ring;visible;(50.1, 0.0, 254.9);-33602
5;39.073;Ring;success;;-30614
5;39.118;Ring;success;;-30662
5;39.129;Ring;visible;(29.4, 0.0, 259.6);-33652
5;39.259;Ring;visible;(30.3, 0.0, 262.1);-33760
