SubjectId;Timestamp;FeedbackType;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
4;0.004;Heat;0.8845542;0.001899719;5.285435;8.999991;0;8.999991;0
4;0.110;Audio;1.052244;0.001899719;6.344186;8.999991;0;8.999991;0
4;0.211;Audio;1.186503;0.001899719;7.191867;8.999991;0;8.999991;0
4;0.313;Audio;1.305821;0.001899719;7.94521;8.999991;0;8.999991;0
4;0.413;Audio;1.407015;0.001899719;8.584126;8.999991;0;8.999991;0
4;0.514;Audio;1.491677;0.001899719;9.118664;8.999991;0;8.999991;0
4;0.615;Audio;1.559878;0.001899719;9.549267;8.999991;0;8.999991;0
4;0.715;Audio;1.611679;0.001899719;9.876326;8.999991;0;8.999991;0
4;0.816;Audio;1.64694;0.001899719;10.09896;8.999991;0;8.999991;0
4;0.916;Audio;1.665768;0.001899719;10.21783;8.999991;0;8.999991;0
4;1.017;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;1.117;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;1.218;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;1.319;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;1.419;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;1.523;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;1.631;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;1.731;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;1.832;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;1.933;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;2.033;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;2.134;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;2.234;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;2.335;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;2.435;Audio;1.669057;0.001899719;10.2386;8.999991;0;8.999991;0
4;2.536;Audio;1.671667;0.001899719;10.25508;8.999991;0;8.999991;0
4;2.636;Audio;1.688662;0.001899719;10.36238;8.999991;0;8.999991;0
4;2.737;Audio;1.721463;0.001899719;10.56948;8.999991;0;8.999991;0
4;2.838;Audio;1.770235;0.001899719;10.87742;8.999991;0;8.999991;0
4;2.938;Audio;1.834482;0.001899719;11.28306;8.999991;0;8.999991;0
4;3.039;Audio;1.91459;0.001899719;11.78884;8.999991;0;8.999991;0
4;3.139;Audio;2.01061;0.001899719;12.39509;8.999991;0;8.999991;0
4;3.240;Audio;2.122504;0.001899719;13.10156;8.999991;0;8.999991;0
4;3.340;Audio;2.250169;0.001899719;13.90761;8.999991;0;8.999991;0
4;3.441;Audio;2.393666;0.001899719;14.81361;8.999991;0;8.999991;0
4;3.541;Audio;2.553102;0.001899719;15.82025;8.999991;0;8.999991;0
4;3.642;Audio;2.728305;0.001899719;16.92644;8.999991;0;8.999991;0
4;3.742;Audio;2.918875;0.001899719;18.12965;8.999991;0;8.999991;0
4;3.843;Audio;3.12538;0.001899719;19.43347;8.999991;0;8.999991;0
4;3.943;Audio;3.348063;0.001899719;20.83944;8.999991;0;8.999991;0
4;4.044;Audio;3.586925;0.001899719;22.34755;8.999991;0;8.999991;0
4;4.145;Audio;3.841152;0.001899719;23.95268;8.999991;0;8.999991;0
4;4.246;Audio;4.113448;0.001899719;25.67189;8.999991;0;8.999991;0
4;4.357;Audio;4.429652;0.001899719;27.66833;8.999991;0;8.999991;0
4;4.458;Audio;4.73513;0.001899719;29.59705;8.999991;0;8.999991;0
4;4.558;Audio;5.048576;0.001899719;31.57607;8.999991;0;8.999991;0
4;4.659;Audio;5.362956;0.001899719;33.56099;8.999991;0;8.999991;0
4;4.759;Audio;5.676741;0.001899719;35.54216;8.999991;0;8.999991;0
4;4.860;Audio;5.992371;0.001899719;37.53496;8.999991;0;8.999991;0
4;4.960;Audio;6.306767;0.001899719;39.51999;8.999991;0;8.999991;0
4;5.061;Audio;6.621611;0.001899719;41.50784;8.999991;0;8.999991;0
4;5.162;Audio;6.937732;0.001899719;43.50375;8.999991;0;8.999991;0
4;5.263;Audio;7.252121;0.001899719;45.48873;8.999991;0;8.999991;0
4;5.363;Audio;7.566448;0.001899719;47.4733;8.999991;0;8.999991;0
4;5.464;Audio;7.881229;0.001899719;49.46076;8.999991;0;8.999991;0
4;5.564;Audio;8.195874;0.001899719;51.44736;8.999991;0;8.999991;0
4;5.665;Audio;8.510357;0.001899719;53.43291;8.999991;0;8.999991;0
4;5.766;Audio;8.826609;0.001899719;55.42966;8.999991;0;8.999991;0
4;5.877;Audio;9.174984;0.001899719;57.62921;8.999991;0;8.999991;0
4;5.977;Audio;9.488614;0.001899719;59.60939;8.999991;0;8.999991;0
4;6.080;Audio;9.808572;0.001899719;61.62952;8.999991;0;8.999991;0
4;6.190;Audio;10.15364;0.001899719;63.80819;8.999991;0;8.999991;0
4;6.292;Audio;10.47401;0.001899719;65.83095;8.999991;0;8.999991;0
4;6.402;Audio;10.81734;0.001899719;67.99863;8.999991;0;8.999991;0
4;6.503;Audio;11.12112;0.001899719;69.91662;8.999991;0;8.999991;0
4;6.603;Audio;11.39418;0.001899719;71.64065;8.999991;0;8.999991;0
4;6.704;Audio;11.63502;0.001899719;73.16125;8.999991;0;8.999991;0
4;6.804;Audio;11.84451;0.001899719;74.48387;8.999991;0;8.999991;0
4;6.905;Audio;12.02259;0.001899719;75.60825;8.999991;0;8.999991;0
4;7.006;Audio;12.16922;0.001899719;76.53403;8.999991;0;8.999991;0
4;7.118;Audio;12.29408;0.001899719;77.32235;8.999991;0;8.999991;0
4;7.218;Audio;12.37301;0.001899719;77.8207;8.999991;0;8.999991;0
4;7.318;Audio;12.42074;0.001899719;78.12204;8.999991;0;8.999991;0
4;7.419;Audio;12.43683;0.001899719;78.22364;8.999991;0;8.999991;0
4;7.519;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;7.620;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;7.720;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;7.821;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;7.921;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;8.022;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;8.122;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;8.224;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;8.324;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;8.424;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;8.524;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;8.625;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;8.726;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;8.826;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
4;8.926;Audio;12.43667;0.001899719;78.22263;8.999991;0;8.999991;0
