SubjectName,Timestamp,FeedbackType,MainTask,MainTaskInfo,SecondaryTask,SecondaryTaskInfo,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #107,0.012,Heat,None,,None,,,0,0,0,0
Subject #107,0.179,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,0.282,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,0.384,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,0.494,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,0.601,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,0.707,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,0.817,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,0.927,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,1.034,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,1.140,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,1.251,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,1.359,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,1.467,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,1.568,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,1.673,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,1.782,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,1.889,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,1.999,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,2.108,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,2.208,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,2.322,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,2.431,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,2.534,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,2.640,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,2.750,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,2.857,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,2.966,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,3.070,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,3.173,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,3.282,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,3.390,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,3.499,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,3.599,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,3.704,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,3.809,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,3.917,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,4.022,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,4.129,Vibration,Middle,,Middle,,,0,0,0,0
Subject #107,4.238,Vibration,None,Success,None,Success,,0,0,0,0
Subject #107,4.341,Vibration,None,,None,,,0,0,0,0
Subject #107,4.447,Vibration,None,,None,,,357.1716,0,357.1716,0
Subject #107,4.555,Vibration,None,,None,,,344.9673,0,344.9673,0
Subject #107,4.664,Vibration,None,,None,,,331.8018,0,331.8018,0
Subject #107,4.773,Vibration,None,,None,,,318.6759,0,318.6759,0
Subject #107,4.886,Vibration,None,,None,,,305.2083,0,305.2083,0
Subject #107,4.995,Vibration,None,,None,,,292.082,0,292.082,0
Subject #107,5.106,Vibration,None,,None,,,278.789,0,278.789,0
Subject #107,5.212,Vibration,None,,None,,,266.1664,0,266.1664,0
Subject #107,5.323,Vibration,None,,None,,,252.7094,0,252.7094,0
Subject #107,5.432,Vibration,None,,None,,,239.7173,0,239.7173,0
Subject #107,5.538,Vibration,None,,None,,,227.1197,0,227.1197,0
Subject #107,5.640,Vibration,None,,None,,,223.7068,0,223.7068,0
Subject #107,5.755,Vibration,None,,None,,,214.9092,0,214.9092,0
Subject #107,5.863,Vibration,None,,None,,,201.887,0,201.887,0
Subject #107,5.968,Vibration,None,,None,,,189.3137,0,189.3137,0
Subject #107,6.072,Vibration,None,,None,,,176.8424,0,176.8424,0
