SubjectId;Timestamp;EventType;EventStatus;EventInfo;EventId
5;9.117;POV;visible;Right;-275578
5;9.124;POV;visible;Right;-275676
5;11.172;Ring;visible;(11.2, 55.7, 203.6);-275916
5;14.088;POV;timeout;;-275578
5;14.091;POV;timeout;;-275676
5;14.969;Ring;visible;(-2.2, 74.9, 276.9);-276230
5;17.783;Ring;visible;(7.6, 89.1, 331.5);-276412
5;19.159;Ring;timeout;;-275916
5;19.837;POV;visible;Middle;-276720
5;19.842;POV;visible;Middle;-276818
5;21.793;Ring;success;;-276412
5;21.898;Ring;visible;(13.9, 110.0, 411.3);-277216
5;22.955;Ring;timeout;;-276230
5;24.811;POV;timeout;;-276720
5;24.813;POV;timeout;;-276818
5;24.956;Ring;visible;(-3.7, 125.3, 470.0);-277642
5;27.370;Ring;visible;(-7.7, 137.5, 516.6);-278668
5;28.966;Ring;success;;-277642
5;29.882;Ring;timeout;;-277216
5;30.297;Ring;visible;(-1.6, 152.5, 573.8);-280274
5;31.378;Ring;success;;-278668
5;32.346;POV;visible;Left;-280902
5;32.351;POV;visible;Left;-281000
5;34.404;Ring;visible;(-16.6, 173.0, 652.4);-281346
5;37.320;POV;timeout;;-280902
5;37.323;POV;timeout;;-281000
5;38.281;Ring;timeout;;-280274
5;38.318;Ring;visible;(-28.0, 192.6, 727.4);-281818
5;40.905;Ring;visible;(-41.1, 205.4, 776.3);-281992
5;42.348;Ring;success;;-281818
5;42.369;Ring;timeout;;-281346
