SubjectName,Timestamp,FeedbackType,MainTask,MainTaskInfo,SecondaryTask,SecondaryTaskInfo,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #157,0.011,Heat,None,,None,,,0,0,0,0
Subject #157,0.112,Audio,Right,,Right,,,0,0,0,0
Subject #157,0.220,Audio,Right,,Right,,,0,0,0,0
Subject #157,0.320,Audio,Right,,Right,,,0,0,0,0
Subject #157,0.427,Audio,Right,,Right,,,0,0,0,0
Subject #157,0.533,Audio,Right,,Right,,,0,0,0,0
Subject #157,0.637,Audio,Right,,Right,,,0,0,0,0
Subject #157,0.739,Audio,Right,,Right,,,0,0,0,0
Subject #157,0.847,Audio,Right,,Right,,,0,0,0,0
Subject #157,0.949,Audio,Right,,Right,,,0,0,0,0
Subject #157,1.050,Audio,Right,,Right,,,0,0,0,0
Subject #157,1.160,Audio,Right,,Right,,,0,0,0,0
Subject #157,1.266,Audio,Right,,Right,,,0,0,0,0
Subject #157,1.376,Audio,Right,,Right,,,0,0,0,0
Subject #157,1.484,Audio,Right,,Right,,,0,0,0,0
Subject #157,1.593,Audio,Right,,Right,,,0,0,0,0
Subject #157,1.696,Audio,Right,,Right,,,0,0,0,0
Subject #157,1.798,Audio,Right,,Right,,,0,0,0,0
Subject #157,1.906,Audio,Right,,Right,,,0,0,0,0
Subject #157,2.014,Audio,Right,,Right,,,0,0,0,0
Subject #157,2.116,Audio,Right,,Right,,,0,0,0,0
Subject #157,2.224,Audio,Right,,Right,,,0,0,0,0
Subject #157,2.333,Audio,Right,,Right,,,0,0,0,0
Subject #157,2.433,Audio,Right,,Right,,,0,0,0,0
Subject #157,2.537,Audio,Right,,Right,,,0,0,0,0
Subject #157,2.645,Audio,Right,,Right,,,0,0,0,0
Subject #157,2.746,Audio,Right,,Right,,,0,0,0,0
Subject #157,2.854,Audio,Right,,Right,,,0,0,0,0
Subject #157,3.693,Audio,Right,,Right,,,0,0,0,0
Subject #157,3.806,Audio,Right,,Right,,,0,0,0,0
Subject #157,3.909,Audio,Right,,Right,,,0,0,0,0
Subject #157,4.019,Audio,Right,,Right,,,0,0,0,0
Subject #157,4.124,Audio,Right,,Right,,,0,0,0,0
Subject #157,4.225,Audio,Right,,Right,,,0,0,0,0
Subject #157,4.330,Audio,Right,,Right,,,0,0,0,0
Subject #157,4.430,Audio,Right,,Right,,,0,0,0,0
Subject #157,4.532,Audio,Right,,Right,,,0,0,0,0
Subject #157,4.632,Audio,Right,,Right,,,0,0,0,0
Subject #157,4.740,Audio,Right,,Right,,,0,0,0,0
Subject #157,4.846,Audio,Right,,Right,,,0,0,0,0
Subject #157,4.950,Audio,Right,,Right,,,0,0,0,0
Subject #157,5.056,Audio,Right,,Right,,,0,0,0,0
Subject #157,5.159,Audio,Right,,Right,,,0,0,0,0
Subject #157,5.266,Audio,Right,,Right,,,0,0,0,0
Subject #157,5.371,Audio,Right,,Right,,,0,0,0,0
Subject #157,5.479,Audio,Right,,Right,,,0,0,0,0
Subject #157,5.582,Audio,Right,,Right,,,0,0,0,0
Subject #157,5.688,Audio,Right,,Right,,,0,0,0,0
Subject #157,5.798,Audio,Right,,Right,,,0,0,0,0
Subject #157,5.907,Audio,Right,,Right,,,0,0,0,0
Subject #157,6.013,Audio,Right,,Right,,,0,0,0,0
Subject #157,6.119,Audio,Right,,Right,,,0,0,0,0
Subject #157,6.223,Audio,Right,,Right,,,0,0,0,0
Subject #157,6.331,Audio,Right,,Right,,,0,0,0,0
Subject #157,6.438,Audio,Right,,Right,,,0,0,0,0
Subject #157,6.541,Audio,Right,,Right,,,0,0,0,0
Subject #157,6.641,Audio,Right,,Right,,,0,0,0,0
Subject #157,6.746,Audio,Right,,Right,,,0,0,0,0
Subject #157,6.852,Audio,Right,,Right,,,0,0,0,0
Subject #157,6.960,Audio,Right,,Right,,,0,0,0,0
Subject #157,7.068,Audio,Right,,Right,,,0,0,0,0
Subject #157,7.177,Audio,Right,,Right,,,0,0,0,0
Subject #157,7.279,Audio,Right,,Right,,,0,0,0,0
Subject #157,7.387,Audio,Right,,Right,,,0,0,0,0
Subject #157,7.488,Audio,Right,,Right,,,0,0,0,0
Subject #157,7.590,Audio,Right,,Right,,,0,0,0,0
Subject #157,7.695,Audio,Right,,Right,,,0,0,0,0
Subject #157,7.802,Audio,Right,,Right,,,0,0,0,0
Subject #157,7.910,Audio,Right,,Right,,,0,0,0,0
Subject #157,8.011,Audio,Right,,Right,,,0,0,0,0
Subject #157,8.114,Audio,Right,,Right,,,0,0,0,0
Subject #157,8.215,Audio,Right,,Right,,,0,0,0,0
Subject #157,8.317,Audio,Right,,Right,,,0,0,0,0
Subject #157,8.419,Audio,Right,,Right,,,0,0,0,0
Subject #157,8.520,Audio,Right,,Right,,,0,0,0,0
Subject #157,8.627,Audio,Right,,Right,,,0,0,0,0
Subject #157,8.735,Audio,Right,,Right,,,0,0,0,0
Subject #157,8.837,Audio,Right,,Right,,,0,0,0,0
Subject #157,8.938,Audio,Right,,Right,,,0,0,0,0
Subject #157,9.045,Audio,Right,,Right,,,0,0,0,0
Subject #157,9.152,Audio,Right,,Right,,,0,0,0,0
Subject #157,9.256,Audio,Right,,Right,,,0,0,0,0
Subject #157,9.359,Audio,Right,,Right,,,0,0,0,0
Subject #157,9.462,Audio,Right,,Right,,,0,0,0,0
Subject #157,9.565,Audio,Right,,Right,,,0,0,0,0
Subject #157,9.665,Audio,Right,,Right,,,0,0,0,0
Subject #157,9.769,Audio,Right,,Right,,,0,0,0,0
Subject #157,9.871,Audio,Right,,Right,,,0,0,0,0
Subject #157,9.972,Audio,Right,,Right,,,0,0,0,0
Subject #157,10.077,Audio,Right,,Right,,,0,0,0,0
Subject #157,10.179,Audio,Right,,Right,,,0,0,0,0
Subject #157,10.285,Audio,Right,,Right,,,0,0,0,0
Subject #157,10.389,Audio,Right,,Right,,,0,0,0,0
Subject #157,10.493,Audio,Right,,Right,,,0,0,0,0
Subject #157,10.596,Audio,Right,,Right,,,0,0,0,0
Subject #157,10.701,Audio,Right,,Right,,,0,0,0,0
Subject #157,10.806,Audio,Right,,Right,,,0,0,0,0
Subject #157,10.912,Audio,Right,,Right,,,0,0,0,0
Subject #157,11.013,Audio,Right,,Right,,,0,0,0,0
Subject #157,11.113,Audio,Right,,Right,,,0,0,0,0
Subject #157,11.213,Audio,Right,,Right,,,0,0,0,0
Subject #157,11.315,Audio,Right,,Right,,,0,0,0,0
Subject #157,11.467,Audio,Right,,Right,,,0,0,0,0
Subject #157,11.573,Audio,Right,,Right,,,0,0,0,0
Subject #157,11.678,Audio,Right,,Right,,,0,0,0,0
Subject #157,11.782,Audio,Right,,Right,,,0,0,0,0
Subject #157,11.887,Audio,Right,,Right,,,0,0,0,0
Subject #157,11.993,Audio,Right,,Right,,,0,0,0,0
Subject #157,12.102,Audio,Right,,Right,,,0,0,0,0
Subject #157,12.208,Audio,Right,,Right,,,0,0,0,0
Subject #157,12.315,Audio,Right,,Right,,,0,0,0,0
Subject #157,12.421,Audio,Right,,Right,,,0,0,0,0
Subject #157,12.521,Audio,Right,,Right,,,0,0,0,0
Subject #157,12.630,Audio,Right,,Right,,,0,0,0,0
Subject #157,12.735,Audio,Right,,Right,,,0,0,0,0
Subject #157,12.842,Audio,Right,,Right,,,0,0,0,0
Subject #157,12.945,Audio,Right,,Right,,,0,0,0,0
Subject #157,13.050,Audio,Right,,Right,,,0,0,0,0
Subject #157,13.152,Audio,Right,,Right,,,0,0,0,0
Subject #157,13.258,Audio,Right,,Right,,,0,0,0,0
Subject #157,13.361,Audio,Right,,Right,,,0,0,0,0
