SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskYPos;MainTaskZPos;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #372;0,003;Heat;;;;;;;;2,421285;0,001899719;4,031815;29,99999;0;329,562;76,79156
Subject #372;0,113;Smell;;;;Task Started;;;;3,003214;0,001899719;5,039746;29,99999;0;329,4649;76,70567
Subject #372;0,213;Smell;;;;;;;;3,574897;0,001899719;6,029928;29,99999;0;329,3006;76,62498
Subject #372;0,323;Smell;;;;;;;;4,26024;0,001899719;7,216979;29,99999;0;329,1389;76,54635
Subject #372;0,424;Smell;;;;;;;;4,942869;0,001899719;8,399326;29,99999;0;328,9253;76,4613
Subject #372;0,525;Smell;;;;;;;;5,67324;0,001899719;9,664366;29,99999;0;328,7903;76,38706
Subject #372;0,625;Smell;;;;;;;;6,455646;0,001899719;11,01953;29,99999;0;328,6382;76,30946
Subject #372;0,726;Smell;;;;;;;;7,286601;0,001899719;12,45879;29,99999;0;328,4548;76,22083
Subject #372;0,826;Smell;;;;;;;;8,167089;0,001899719;13,98384;29,99999;0;328,2831;76,14515
Subject #372;0,926;Smell;;;;;;;;9,099806;0,001899719;15,59935;29,99999;0;328,1039;76,06601
Subject #372;1,027;Smell;;;;;;;;10,08376;0,001899719;17,30361;29,99999;0;327,9829;75,9948
Subject #372;1,128;Smell;;;;;;;;11,08879;0,001899719;19,04438;29,99999;0;327,7551;75,9178
Subject #372;1,228;Smell;;;;;;;;12,09369;0,001899719;20,78492;29,99999;0;327,6754;75,84647
Subject #372;1,332;Smell;;;;;;;;13,12606;0,001899719;22,57303;29,99999;0;327,4688;75,79155
Subject #372;1,442;Smell;;;;;;;;14,22882;0,001899719;24,48306;29,99999;0;327,3521;75,71446
Subject #372;1,552;Smell;;;;;;;;15,33456;0,001899719;26,39827;29,99999;0;327,1454;75,67155
Subject #372;1,653;Smell;;;;;;;;16,34116;0,001899719;28,14174;29,99999;0;327,0197;75,61108
