SubjectName,Timestamp,FeedbackType,MainTask,MainTaskInfo,SecondaryTask,SecondaryTaskInfo,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #224,0.011,Heat,None,,None,,,9.72998,0,9.72998,0
Subject #224,0.116,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,0.225,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,0.331,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,0.434,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,0.540,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,0.642,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,0.748,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,0.850,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,0.951,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,1.056,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,1.160,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,1.264,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,1.366,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,1.470,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,1.577,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,1.685,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,1.829,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,1.936,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,2.044,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,2.148,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,2.251,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,2.356,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,2.457,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,2.557,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,2.661,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,2.767,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,2.872,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,2.980,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,3.086,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,3.188,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,3.292,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,3.400,Audio,None,,None,,,9.72998,0,9.72998,0
Subject #224,3.505,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,3.606,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,3.708,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,3.812,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,3.917,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,4.019,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,4.121,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,4.222,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,4.323,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,4.426,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,4.529,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,4.635,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,4.740,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,4.844,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,4.952,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,5.053,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,5.159,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,5.265,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,5.371,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,6.746,Audio,Right,,Right,,,9.72998,0,9.72998,0
Subject #224,6.860,Audio,Right,,Right,,,9.959772,0,9.959772,0
Subject #224,6.963,Audio,Right,,Right,,,18.66208,0,18.66208,0
Subject #224,7.068,Audio,Right,,Right,,,31.30527,0,31.30527,0
Subject #224,7.170,Audio,Right,,Right,,,43.53877,0,43.53877,0
Subject #224,7.274,Audio,Right,,Right,,,55.98874,0,55.98874,0
Subject #224,7.385,Audio,Right,,Right,,,69.29185,0,69.29185,0
Subject #224,7.486,Audio,Right,,Right,,,76.49731,0,76.49731,0
Subject #224,7.593,Audio,Right,,Right,,,76.54814,0,76.54814,0
Subject #224,7.697,Audio,Right,,Right,,,73.00581,0,73.00581,0
Subject #224,7.798,Audio,Right,,Right,,,61.14861,0,61.14861,0
Subject #224,7.901,Audio,Right,,Right,,,48.86209,0,48.86209,0
Subject #224,8.004,Audio,Right,,Right,,,36.36575,0,36.36575,0
Subject #224,8.111,Audio,Right,,Right,,,23.531,0,23.531,0
Subject #224,8.217,Audio,Right,,Right,,,17.00594,0,17.00594,0
Subject #224,8.320,Audio,Right,,Right,,,17.00594,0,17.00594,0
Subject #224,8.423,Audio,Right,,Right,,,17.00594,0,17.00594,0
Subject #224,8.523,Audio,Right,,Right,,,10.48034,0,10.48034,0
Subject #224,8.628,Audio,Right,,Right,,,358.0036,0,358.0036,0
Subject #224,8.735,Audio,Right,,Right,,,353.4657,0,353.4657,0
Subject #224,8.837,Audio,Right,,Right,,,354.8791,0,354.8791,0
Subject #224,8.943,Audio,Right,,Right,,,6.039473,0,6.039473,0
Subject #224,9.072,Audio,Right,,Right,,,21.37032,0,21.37032,0
Subject #224,9.182,Audio,Right,,Right,,,34.57209,0,34.57209,0
Subject #224,9.288,Audio,Right,,Right,,,40.07278,0,40.07278,0
Subject #224,9.391,Audio,Right,,Right,,,40.07278,0,40.07278,0
Subject #224,9.491,Audio,Right,,Right,,,40.07278,0,40.07278,0
Subject #224,9.600,Audio,Right,,Right,,,40.07278,0,40.07278,0
