SubjectName,Timestamp,FeedbackType,MainTask,MainTaskInfo,SecondaryTask,SecondaryTaskInfo,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #141,0.012,Heat,None,,None,,,0,0,0,0
Subject #141,0.122,Audio,Left,,Left,,,0,0,0,0
Subject #141,0.241,Audio,Left,,Left,,,0,0,0,0
Subject #141,0.350,Audio,Left,,Left,,,0,0,0,0
Subject #141,0.458,Audio,Left,,Left,,,0,0,0,0
Subject #141,0.558,Audio,Left,,Left,,,0,0,0,0
Subject #141,0.675,Audio,Left,,Left,,,0,0,0,0
Subject #141,0.790,Audio,Left,,Left,,,0,0,0,0
Subject #141,0.892,Audio,Left,,Left,,,0,0,0,0
Subject #141,1.000,Audio,Left,,Left,,,0,0,0,0
Subject #141,3.708,Audio,Left,,Left,,,0,0,0,0
Subject #141,3.827,Audio,Left,,Left,,,0,0,0,0
Subject #141,3.934,Audio,Left,,Left,,,0,0,0,0
Subject #141,4.039,Audio,Left,,Left,,,0,0,0,0
Subject #141,4.141,Audio,Left,,Left,,,0,0,0,0
Subject #141,4.246,Audio,Left,,Left,,,0,0,0,0
Subject #141,4.353,Audio,Left,,Left,,,0,0,0,0
Subject #141,4.466,Audio,Left,,Left,,,0,0,0,0
Subject #141,4.569,Audio,Left,,Left,,,0,0,0,0
Subject #141,4.672,Audio,Left,,Left,,,0,0,0,0
Subject #141,4.773,Audio,Left,,Left,,,0,0,0,0
Subject #141,4.885,Audio,Left,,Left,,,0,0,0,0
Subject #141,4.991,Audio,Left,,Left,,,359.3837,0,359.3837,0
Subject #141,5.095,Audio,Left,,Left,,,349.2403,0,349.2403,0
Subject #141,5.234,Audio,Left,,Left,,,332.572,0,332.572,0
Subject #141,5.348,Audio,Left,,Left,,,318.8837,0,318.8837,0
Subject #141,5.459,Audio,Left,,Left,,,305.8055,0,305.8055,0
Subject #141,5.565,Audio,Left,,Left,,,302.7155,0,302.7155,0
Subject #141,5.676,Audio,Left,,Left,,,302.7155,0,302.7155,0
Subject #141,5.778,Audio,Left,,Left,,,302.7155,0,302.7155,0
Subject #141,5.888,Audio,Left,,Left,,,296.5693,0,296.5693,0
Subject #141,5.993,Audio,Left,,Left,,,284.0104,0,284.0104,0
Subject #141,6.096,Audio,Left,,Left,,,271.6897,0,271.6897,0
Subject #141,6.209,Audio,Left,,Left,,,266.8246,0,266.8246,0
Subject #141,6.315,Audio,Left,,Left,,,266.8246,0,266.8246,0
Subject #141,6.433,Audio,Left,,Left,,,274.2622,0,274.2622,0
Subject #141,6.537,Audio,Left,,Left,,,286.6524,0,286.6524,0
Subject #141,6.638,Audio,Left,,Left,,,298.8193,0,298.8193,0
Subject #141,6.739,Audio,Left,,Left,,,310.9554,0,310.9554,0
Subject #141,6.841,Audio,Left,,Left,,,323.1734,0,323.1734,0
Subject #141,6.942,Audio,Left,,Left,,,335.2776,0,335.2776,0
Subject #141,7.048,Audio,Left,,Left,,,347.9649,0,347.9649,0
Subject #141,7.149,Audio,Left,,Left,,,0.1662915,0,0.1662915,0
Subject #141,7.250,Audio,Left,,Left,,,12.33251,0,12.33251,0
Subject #141,7.363,Audio,Left,,Left,,,17.23066,0,17.23066,0
Subject #141,7.477,Audio,Left,,Left,,,8.460113,0,8.460113,0
Subject #141,7.587,Audio,None,Timeout,None,Timeout,,355.2995,0,355.2995,0
Subject #141,7.688,Audio,None,,None,,,343.1446,0,343.1446,0
Subject #141,7.795,Audio,None,,None,,,330.3416,0,330.3416,0
Subject #141,7.897,Audio,None,,None,,,317.9777,0,317.9777,0
Subject #141,8.002,Audio,None,,None,,,305.4268,0,305.4268,0
Subject #141,8.104,Audio,None,,None,,,293.5923,0,293.5923,0
Subject #141,8.211,Audio,None,,None,,,290.4236,0,290.4236,0
Subject #141,8.315,Audio,None,,None,,,290.4236,0,290.4236,0
Subject #141,8.415,Audio,None,,None,,,290.4236,0,290.4236,0
Subject #141,8.522,Audio,None,,None,,,290.4236,0,290.4236,0
Subject #141,8.626,Audio,None,,None,,,290.4236,0,290.4236,0
Subject #141,8.735,Audio,None,,None,,,288.9495,0,288.9495,0
Subject #141,8.839,Audio,None,,None,,,278.0644,0,278.0644,0
Subject #141,8.948,Audio,None,,None,,,269.3156,0,269.3156,0
Subject #141,9.064,Audio,None,,None,,,269.1579,0,269.1579,0
Subject #141,9.170,Audio,None,,None,,,269.1579,0,269.1579,0
Subject #141,9.302,Audio,None,,None,,,271.7853,0,271.7853,0
Subject #141,9.404,Audio,None,,None,,,283.0896,0,283.0896,0
Subject #141,9.515,Audio,None,,None,,,291.3984,0,291.3984,0
Subject #141,9.631,Audio,None,,None,,,291.3984,0,291.3984,0
Subject #141,9.731,Audio,None,,None,,,291.3984,0,291.3984,0
Subject #141,9.835,Audio,None,,None,,,291.3984,0,291.3984,0
Subject #141,9.947,Audio,None,,None,,,291.3984,0,291.3984,0
Subject #141,10.048,Audio,None,,None,,,291.3984,0,291.3984,0
