SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;MainTaskXPos;MainTaskZPos;SecondaryTask;SecondaryTaskInfo;EventInfo;PlayerXPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #255;0.011;Heat;None;;;;None;;;-0.1;-0.6;9.72998;0;9.72998;0
Subject #255;0.127;Audio;None;;;;None;;;-0.08888692;-0.53519;9.72998;0;9.72998;0
Subject #255;0.227;Audio;None;;;;None;;;-0.06248804;-0.3812353;9.72998;0;9.72998;0
Subject #255;0.342;Audio;None;;;;None;;;-0.01994213;-0.1331133;9.72998;0;9.72998;0
Subject #255;0.444;Audio;None;;;;None;;;0.02935586;0.1543859;9.72998;0;9.72998;0
Subject #255;0.552;Audio;None;;;;None;;;0.09329157;0.5272503;9.72998;0;9.72998;0
Subject #255;0.671;Audio;None;;;;None;;;0.1776665;1.019313;9.72998;0;9.72998;0
Subject #255;0.790;Audio;None;;;;None;;;0.2759131;1.592274;9.72998;0;9.72998;0
Subject #255;0.893;Audio;None;;;;None;;;0.3719456;2.152323;9.72998;0;9.72998;0
Subject #255;0.993;Audio;None;;;;None;;;0.4763115;2.76097;9.72998;0;9.72998;0
Subject #255;1.096;Audio;None;;;;None;;;0.5948942;3.452528;9.72998;0;9.72998;0
Subject #255;1.202;Audio;None;;;;None;;;0.7269917;4.222903;9.72998;0;9.72998;0
Subject #255;1.321;Audio;None;;;;None;;;0.8887402;5.166198;9.72998;0;9.72998;0
Subject #255;1.442;Audio;None;;;;None;;;1.068109;6.212251;9.72998;0;9.72998;0
Subject #255;1.546;Audio;None;;;;None;;;1.23378;7.178422;9.72998;0;9.72998;0
Subject #255;1.660;Audio;None;;;;None;;;1.42986;8.321931;9.72998;0;9.72998;0
Subject #255;1.761;Audio;None;;;;None;;;1.614006;9.395848;9.72998;0;9.72998;0
Subject #255;1.884;Audio;None;;;;None;;;1.849747;10.77066;9.72998;0;9.72998;0
Subject #255;1.988;Audio;None;;;;None;;;2.061977;12.00836;9.72998;0;9.72998;0
Subject #255;2.108;Audio;None;;;;None;;;2.305254;13.42711;9.72998;0;9.72998;0
Subject #255;2.208;Audio;None;;;;None;;;2.50907;14.61574;9.72998;0;9.72998;0
Subject #255;2.309;Audio;None;;;;None;;;2.714075;15.8113;9.72998;0;9.72998;0
Subject #255;2.410;Audio;None;;;;None;;;2.917312;16.99655;9.72998;0;9.72998;0
Subject #255;2.513;Audio;None;;;;None;;;3.127504;18.22236;9.72998;0;9.72998;0
Subject #255;2.614;Audio;None;;;;None;;;3.330965;19.40892;9.72998;0;9.72998;0
Subject #255;2.740;Audio;None;;;;None;;;3.586697;20.90031;9.72998;0;9.72998;0
Subject #255;2.842;Audio;None;;;;None;;;3.793541;22.1066;9.72998;0;9.72998;0
Subject #255;2.942;Audio;None;;;;None;;;3.998347;23.301;9.72998;0;9.72998;0
Subject #255;3.047;Audio;None;;;;None;;;4.209814;24.53424;9.72998;0;9.72998;0
Subject #255;3.149;Audio;None;;;;None;;;4.416278;25.73832;9.72998;0;9.72998;0
Subject #255;3.268;Audio;None;;;;None;;;4.658237;27.14939;9.72998;0;9.72998;0
Subject #255;3.370;Audio;None;;;;None;;;4.864791;28.35398;9.72998;0;9.72998;0
Subject #255;3.471;Audio;None;;;;None;;;5.069776;29.54942;9.72998;0;9.72998;0
Subject #255;3.591;Audio;Right;Task Started;;;Right;Task Started;;5.313821;30.97267;9.72998;0;9.72998;0
Subject #255;3.705;Audio;Right;;;;Right;;;5.542671;32.30728;9.72998;0;9.72998;0
Subject #255;3.810;Audio;Right;;;;Right;;;5.757683;33.56121;9.72998;0;9.72998;0
Subject #255;3.915;Audio;Right;;;;Right;;;5.969903;34.79884;9.72998;0;9.72998;0
Subject #255;4.020;Audio;Right;;;;Right;;;6.183;36.0416;9.72998;0;9.72998;0
Subject #255;4.124;Audio;Right;;;;Right;;;6.39354;37.26944;9.72998;0;9.72998;0
Subject #255;4.244;Audio;Right;;;;Right;;;6.637317;38.69112;9.72998;0;9.72998;0
Subject #255;4.345;Audio;Right;;;;Right;;;6.84232;39.88667;9.72998;0;9.72998;0
Subject #255;4.449;Audio;Right;;;;Right;;;7.053153;41.11621;9.72998;0;9.72998;0
Subject #255;4.552;Audio;Right;;;;Right;;;7.262642;42.33793;9.72998;0;9.72998;0
Subject #255;4.658;Audio;Right;;;;Right;;;7.477646;43.5918;9.72998;0;9.72998;0
Subject #255;4.765;Audio;Right;;;;Right;;;7.693785;44.85229;9.72998;0;9.72998;0
Subject #255;4.869;Audio;Right;;;;Right;;;7.905487;46.08691;9.72998;0;9.72998;0
Subject #255;4.972;Audio;Right;;;;Right;;;8.114423;47.3054;9.72998;0;9.72998;0
Subject #255;5.078;Audio;Right;;;;Right;;;8.329492;48.55965;9.72998;0;9.72998;0
Subject #255;5.185;Audio;Right;;;;Right;;;8.546963;49.8279;9.72998;0;9.72998;0
Subject #255;5.291;Audio;Right;;;;Right;;;8.760782;51.07487;9.72998;0;9.72998;0
