SubjectId;Timestamp;Round;RepeatCount;RoundType;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
0;0.028;0;0;Heat;13.4663;7.82857;105.4122;4.075724;356.7977;5.571219;357.5603
0;0.155;0;0;Heat;13.68424;8.005618;108.5799;3.621877;356.7964;4.807481;357.7118
0;0.288;0;0;Heat;13.89073;8.191591;111.9072;3.273898;356.7954;4.318094;357.5075
0;0.422;0;0;Heat;14.09142;8.378802;115.2548;3.302613;356.7955;6.399154;356.8878
0;0.556;0;0;Heat;14.30685;8.565001;118.5837;3.878627;356.7971;8.353621;356.7651
0;0.690;0;0;Heat;14.5596;8.750814;121.9217;4.743141;356.8001;8.107654;356.6407
0;0.824;0;0;Heat;14.85431;8.93551;125.2503;5.570229;356.8036;8.406867;356.6642
0;0.958;0;0;Heat;15.18376;9.120202;128.5821;6.103897;356.8063;8.154977;356.9106
0;1.093;0;0;Heat;15.53169;9.305222;131.9297;6.230409;356.8069;7.798655;356.9736
0;1.236;0;0;Heat;15.89938;9.501266;135.479;6.048719;356.806;7.293636;356.8924
0;1.360;0;0;Heat;16.21269;9.672584;138.5737;5.959695;356.8055;7.088201;356.9269
0;1.495;0;0;Heat;16.55501;9.858294;141.9346;6.121851;356.8064;7.35985;356.7557
0;1.628;0;0;Heat;16.90519;10.04058;145.2312;6.401521;356.8079;7.376016;356.7356
0;1.762;0;0;Heat;17.27194;10.22427;148.5575;6.501335;356.8084;7.237148;356.5941
0;1.896;0;0;Heat;17.63954;10.40805;151.8813;6.397614;356.8079;6.816201;356.648
0;2.030;0;0;Heat;18.00222;10.59227;155.2131;6.291104;356.8073;6.631293;356.316
0;2.164;0;0;Heat;18.36168;10.77585;158.5379;6.270453;356.8072;6.836299;356.2224
0;2.299;0;0;Heat;18.72006;10.9599;161.8688;6.20165;356.8068;6.566823;356.2446
0;2.432;0;0;Heat;19.07545;11.14364;165.1943;6.195708;356.8068;6.60449;356.0843
0;2.566;0;0;Heat;19.43263;11.3272;168.5187;6.271164;356.8072;6.72652;355.9718
0;2.701;0;0;Heat;19.79804;11.51154;171.8537;6.431054;356.808;6.912691;356.0544
0;2.835;0;0;Heat;20.173;11.69569;175.1771;6.62759;356.8091;7.025671;356.0876
0;2.970;0;0;Heat;20.55994;11.88058;178.5166;6.776156;356.81;7.212995;356.1394
0;3.103;0;0;Heat;20.9521;12.06336;181.8129;6.988394;356.8113;7.550804;356.0524
0;3.238;0;0;Heat;21.36658;12.24962;185.1698;7.288655;356.8131;7.849515;356.102
0;3.371;0;0;Heat;21.78997;12.43098;188.4475;7.652897;356.8155;8.114786;356.0619
0;3.505;0;0;Heat;22.24293;12.61458;191.7718;8.145404;356.8189;8.710356;356.1063
0;3.639;0;0;Heat;22.71822;12.79687;195.0693;8.691864;356.823;9.207417;356.1893
0;3.773;0;0;Heat;23.21713;12.98032;198.3762;9.237414;356.8274;9.561129;356.3024
0;3.907;0;0;Heat;23.74535;13.16452;201.6866;10.10776;356.8349;10.31498;356.5854
0;4.042;0;0;Heat;24.31922;13.34782;204.9782;11.28902;356.8463;10.9965;356.6872
