SubjectName,Timestamp,FeedbackType,ActionType,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #16,0.011,Heat,No Action,no event,0,0,0,0
Subject #16,0.360,Vibration,No Action,no event,0,0,0,0
Subject #16,0.473,Vibration,No Action,no event,0,0,0,0
Subject #16,0.594,Vibration,No Action,no event,0,0,0,0
Subject #16,0.718,Vibration,No Action,no event,0,0,0,0
Subject #16,0.835,Vibration,No Action,no event,0,0,0,0
Subject #16,0.984,Vibration,No Action,no event,0,0,0,0
Subject #16,1.112,Vibration,No Action,no event,0,0,0,0
Subject #16,1.218,Vibration,No Action,no event,0,0,0,0
Subject #16,1.335,Vibration,No Action,no event,0,0,0,0
Subject #16,1.487,Vibration,No Action,no event,0,0,0,0
Subject #16,1.620,Vibration,No Action,no event,0,357.6642,0,357.6642
Subject #16,1.750,Vibration,No Action,no event,0,342.9351,0,342.9351
Subject #16,1.880,Vibration,No Action,no event,0,328.9406,0,328.9406
Subject #16,2.009,Vibration,No Action,no event,0,324.1893,0,324.1893
Subject #16,2.136,Vibration,No Action,no event,0,309.0844,0,309.0844
Subject #16,2.238,Vibration,No Action,no event,0,296.5457,0,296.5457
Subject #16,2.365,Vibration,No Action,no event,0,283.0125,0,283.0125
Subject #16,2.486,Vibration,No Action,no event,0,281.8594,0,281.8594
Subject #16,2.615,Vibration,No Action,no event,0,281.8594,0,281.8594
Subject #16,2.736,Vibration,No Action,no event,0,281.8594,0,281.8594
Subject #16,2.866,Vibration,No Action,no event,0,281.8594,0,281.8594
Subject #16,2.989,Vibration,No Action,no event,0,274.5462,0,274.5462
Subject #16,3.112,Vibration,No Action,no event,180,279.3184,180,279.3184
Subject #16,3.214,Vibration,No Action,no event,180,280.8619,180,280.8619
Subject #16,3.335,Vibration,No Action,no event,180,280.8619,180,280.8619
Subject #16,3.460,Vibration,No Action,no event,180,280.8619,180,280.8619
Subject #16,3.593,Vibration,No Action,no event,180,280.8619,180,280.8619
Subject #16,3.703,Vibration,No Action,no event,180,280.8619,180,280.8619
Subject #16,3.832,Vibration,No Action,no event,180,280.8619,180,280.8619
Subject #16,3.945,Vibration,No Action,no event,180,280.8619,180,280.8619
Subject #16,4.071,Vibration,No Action,no event,180,280.8619,180,280.8619
Subject #16,4.193,Vibration,No Action,no event,180,280.8619,180,280.8619
Subject #16,4.311,Vibration,No Action,no event,180,280.8619,180,280.8619
