SubjectName,Timestamp,FeedbackType,ActionType,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #78,0.003,Heat,No Action,no event,0,0,133.0721,351.0598
Subject #78,0.105,Audio,No Action,no event,0,0,133.0715,351.0614
Subject #78,0.210,Audio,No Action,no event,0,0,133.0704,351.0586
Subject #78,0.319,Audio,No Action,no event,0,0,133.0755,351.0498
Subject #78,0.432,Audio,No Action,no event,0,0,133.0762,351.0572
Subject #78,0.541,Audio,No Action,no event,0,0,133.0775,351.0686
Subject #78,0.647,Audio,No Action,no event,0,0,133.0779,351.0703
Subject #78,0.757,Audio,No Action,no event,0,0,133.0779,351.0593
Subject #78,0.865,Audio,No Action,no event,0,0,133.0695,351.0609
Subject #78,0.967,Audio,No Action,no event,0,0,133.077,351.0685
Subject #78,1.077,Audio,No Action,no event,0,0,133.0754,351.0727
Subject #78,1.178,Audio,No Action,no event,0,0,133.0802,351.0654
Subject #78,1.287,Audio,No Action,no event,0,0,133.0756,351.0792
Subject #78,1.395,Audio,No Action,no event,0,0,133.0777,351.0742
Subject #78,1.506,Audio,No Action,no event,0,0,133.0656,351.0858
Subject #78,1.612,Audio,No Action,no event,0,0,133.0704,351.0727
Subject #78,1.712,Audio,No Action,no event,0,0,133.0727,351.0662
Subject #78,1.813,Audio,No Action,no event,0,0,133.0691,351.0664
Subject #78,1.914,Audio,No Action,no event,0,0,133.0766,351.0639
Subject #78,2.025,Audio,No Action,no event,0,0,133.0689,351.0725
Subject #78,2.126,Audio,No Action,no event,0,0,133.0617,351.07
Subject #78,2.226,Audio,No Action,no event,0,0,133.0676,351.0681
Subject #78,2.327,Audio,No Action,no event,0,0,133.0633,351.0732
Subject #78,2.428,Audio,No Action,no event,0,0,133.0615,351.0722
Subject #78,2.529,Audio,No Action,no event,0,0,133.0661,351.0773
Subject #78,2.631,Audio,No Action,no event,0,0,133.0754,351.0854
