SubjectId;Timestamp;Round;FeedbackType;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
37;0.014;0;Practice;2.113475;6.29592E-07;30.63159;3.972871;8.775717E-07;165.3101;350.5148
37;0.134;0;Practice;2.280351;5.927242E-07;33.0326;3.978181;8.775717E-07;165.3242;350.52
37;0.246;0;Practice;2.435377;5.578964E-07;35.26091;3.981345;1.026051E-06;165.3232;350.5084
37;0.357;0;Practice;2.590425;5.347747E-07;37.48876;3.981148;2.965921E-08;165.3203;350.5027
37;0.470;0;Practice;2.747336;4.517362E-07;39.74274;3.982534;5.933599E-08;165.3205;350.5055
37;0.582;0;Practice;2.902116;5.1221E-07;41.96626;3.981955;-2.678422E-06;165.325;350.5074
37;0.694;0;Practice;3.058594;5.418653E-07;44.21473;3.980656;3.442691E-06;165.3225;350.5128
37;0.816;0;Practice;3.227814;5.768351E-07;46.64581;3.983288;-8.236065E-07;165.3349;350.5067
37;0.928;0;Practice;3.383473;6.228087E-07;48.88091;3.985007;-1.676829E-06;165.3147;350.5168
37;1.040;0;Practice;3.5384;7.714683E-07;51.10431;3.98606;-2.559772E-06;165.334;350.5272
37;1.151;0;Practice;3.693767;1.020076E-06;53.33432;3.986259;-7.709002E-06;165.3315;350.5254
37;1.263;0;Practice;3.849023;1.320435E-06;55.56189;3.987198;-7.709E-06;165.321;350.5221
37;1.375;0;Practice;4.004357;1.53831E-06;57.79014;3.985237;-2.619152E-06;165.3241;350.5219
37;1.487;0;Practice;4.15963;1.640493E-06;60.02009;3.981751;-2.619153E-06;165.3274;350.5244
37;1.598;0;Practice;4.314687;1.742594E-06;62.24824;3.980561;-2.619153E-06;165.3309;350.5254
37;1.710;0;Practice;4.469691;1.885455E-06;64.47562;3.981014;-4.589156E-06;165.3194;350.5171
37;1.821;0;Practice;4.624786;2.014876E-06;66.70438;3.980648;-5.325772E-07;165.3245;350.5122
37;1.933;0;Practice;4.780086;1.990958E-06;68.93636;3.978769;1.392972E-06;165.3212;350.5173
37;2.045;0;Practice;4.934917;1.895379E-06;71.16231;3.979627;2.904391E-06;165.3286;350.5232
37;2.157;0;Practice;5.089919;1.740881E-06;73.39001;3.980752;4.948183E-06;165.3306;350.5249
37;2.269;0;Practice;5.24615;1.565118E-06;75.63569;3.978899;4.301518E-06;165.3272;350.5183
37;2.391;0;Practice;5.41544;1.397802E-06;78.06995;3.97712;3.865538E-06;165.3166;350.5204
37;2.505;0;Practice;5.573469;1.254712E-06;80.3431;3.976715;3.43645E-06;165.3256;350.5291
37;2.626;0;Practice;5.741133;1.105957E-06;82.75508;3.975774;3.625084E-06;165.3162;350.5298
37;2.738;0;Practice;5.896184;9.663318E-07;84.98503;3.977708;3.271494E-06;165.3201;350.5228
37;2.849;0;Practice;6.050926;8.697792E-07;87.20998;3.979542;2.385766E-06;165.3216;350.5163
37;2.961;0;Practice;6.206211;7.639732E-07;89.4415;3.980668;3.130114E-06;165.3141;350.5107
37;3.073;0;Practice;6.361277;6.278769E-07;91.66949;3.983125;3.322099E-06;165.3158;350.5148
37;3.185;0;Practice;6.516587;5.493909E-07;93.90006;3.98195;3.311284E-07;165.3215;350.5122
37;3.296;0;Practice;6.671521;5.124101E-07;96.12652;3.980297;2.158639E-06;165.3147;350.5136
37;3.408;0;Practice;6.826558;4.113777E-07;98.35456;3.980211;2.793055E-06;165.3138;350.5137
37;3.520;0;Practice;6.981658;2.703946E-07;100.584;3.979225;3.904731E-06;165.3159;350.5242
37;3.631;0;Practice;7.136598;7.800693E-08;102.8115;3.978836;5.246632E-06;165.3166;350.5117
37;3.743;0;Practice;7.291984;-2.048632E-07;105.0454;3.978395;7.58029E-06;165.3101;350.5128
37;3.855;0;Practice;7.446925;-4.898378E-07;107.2734;3.978386;6.717897E-06;165.3181;350.5171
37;3.967;0;Practice;7.602098;-7.837813E-07;109.5048;3.978698;8.091426E-06;165.3146;350.5151
