SubjectId;Timestamp;EventType;EventStatus;EventInfo;EventId
4;0.030;Ring;visible;(17.0, 0.0, 108.4);-363122
4;3.466;Ring;visible;(32.6, 0.0, 175.6);-364300
4;4.044;Ring;success;;-363122
4;6.084;Ring;visible;(0.5, 0.0, 226.6);-365442
4;9.969;POV;visible;Middle;-367056
4;10.191;Ring;visible;(8.8, 0.0, 303.4);-367272
4;11.449;Ring;timeout;;-364300
4;13.127;Ring;visible;(10.0, 0.0, 361.8);-368500
4;14.086;Ring;timeout;;-365442
4;14.958;POV;timeout;;-367056
4;16.817;Ring;visible;(-108.9, 0.0, 319.4);-370016
4;18.175;Ring;timeout;;-367272
4;20.017;Ring;visible;(53.0, 0.0, 248.1);-371134
4;21.091;Ring;timeout;;-368500
4;23.916;POV;visible;Middle;-372356
4;24.125;Ring;visible;(132.5, 0.0, 238.9);-372560
4;24.173;Ring;success;;-371134
4;24.821;Ring;timeout;;-370016
4;27.391;POV;success;;-372356
4;28.076;Ring;visible;(195.7, 0.0, 184.0);-373832
4;31.493;Ring;visible;(174.9, 0.0, 100.4);-374850
4;32.104;Ring;timeout;;-372560
4;35.156;Ring;visible;(176.4, 0.0, 28.4);-375980
4;35.545;Ring;success;;-374850
4;36.059;Ring;timeout;;-373832
4;38.616;POV;visible;Right;-377118
4;39.268;Ring;visible;(96.3, 0.0, -28.6);-377442
4;41.531;POV;success;;-377118
4;42.193;Ring;visible;(57.2, 0.0, -72.9);-378430
4;43.140;Ring;timeout;;-375980
4;44.956;Ring;visible;(33.1, 0.0, -123.1);-379320
4;47.251;Ring;timeout;;-377442
4;48.670;Ring;visible;(-21.5, 0.0, -175.4);-380466
4;50.178;Ring;timeout;;-378430
4;52.155;POV;visible;Left;-381556
4;52.783;Ring;visible;(-81.5, 0.0, -231.7);-381874
4;52.903;Ring;timeout;;-379320
4;55.137;POV;success;;-381556
4;55.955;Ring;visible;(-134.9, 0.0, -267.9);-382990
4;56.656;Ring;timeout;;-380466
4;56.813;Ring;success;;-381874
4;59.194;Ring;visible;(-142.4, 0.0, -342.2);-384062
4;62.676;POV;visible;Right;-385100
4;63.305;Ring;visible;(-13.9, 0.0, -371.9);-385418
4;63.939;Ring;timeout;;-382990
