SubjectName,Timestamp,FeedbackType,ActionType,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #20,0.011,Heat,No Action,no event,0,0,0,0
Subject #20,0.143,Smell,No Action,no event,0,0,0,0
Subject #20,0.252,Smell,No Action,no event,0,0,0,0
Subject #20,0.353,Smell,No Action,no event,0,0,0,0
Subject #20,0.475,Smell,No Action,no event,0,0,0,0
Subject #20,0.600,Smell,No Action,no event,0,0,0,0
Subject #20,0.720,Smell,No Action,no event,0,0,0,0
Subject #20,0.848,Smell,No Action,no event,0,0,0,0
Subject #20,0.973,Smell,No Action,no event,0,0,0,0
Subject #20,1.106,Smell,No Action,no event,0,0,0,0
Subject #20,1.249,Smell,No Action,no event,0,0,0,0
Subject #20,1.366,Smell,No Action,no event,0,0,0,0
Subject #20,1.491,Smell,No Action,no event,0,0,0,0
Subject #20,1.632,Smell,No Action,no event,0,0,0,0
Subject #20,1.765,Smell,No Action,no event,0,357.1541,0,357.1541
Subject #20,1.905,Smell,No Action,no event,0,340.0277,0,340.0277
Subject #20,2.007,Smell,No Action,no event,0,327.5758,0,327.5758
Subject #20,2.108,Smell,No Action,no event,0,315.4659,0,315.4659
Subject #20,2.237,Smell,No Action,no event,0,307.6847,0,307.6847
Subject #20,2.351,Smell,No Action,no event,0,307.6847,0,307.6847
Subject #20,2.469,Smell,No Action,no event,0,297.2991,0,297.2991
Subject #20,2.587,Smell,No Action,no event,0,284.9108,0,284.9108
Subject #20,2.704,Smell,No Action,no event,0,283.8928,0,283.8928
Subject #20,2.845,Smell,No Action,no event,0,283.8928,0,283.8928
Subject #20,2.961,Smell,No Action,no event,0,283.8928,0,283.8928
Subject #20,3.068,Smell,No Action,no event,0,283.8928,0,283.8928
Subject #20,3.189,Smell,No Action,no event,0,283.8928,0,283.8928
Subject #20,3.292,Smell,No Action,no event,0,283.8928,0,283.8928
Subject #20,3.397,Smell,No Action,no event,0,283.8928,0,283.8928
Subject #20,3.530,Smell,No Action,no event,0,283.8928,0,283.8928
Subject #20,3.647,Smell,No Action,no event,0,283.8928,0,283.8928
Subject #20,3.763,Smell,No Action,no event,0,283.8928,0,283.8928
Subject #20,3.891,Smell,POV,Action Started,0,283.8928,0,283.8928
Subject #20,3.992,Smell,POV,no event,0,283.8928,0,283.8928
Subject #20,4.142,Smell,POV,no event,0,283.8928,0,283.8928
Subject #20,4.269,Smell,POV,no event,0,283.8928,0,283.8928
Subject #20,4.392,Smell,POV,no event,0,283.8928,0,283.8928
Subject #20,4.526,Smell,POV,no event,0,283.8928,0,283.8928
Subject #20,4.645,Smell,POV,no event,0,283.8928,0,283.8928
Subject #20,4.825,Smell,POV,no event,305.6262,293.0073,305.6262,293.0073
Subject #20,4.949,Smell,POV,no event,289.3158,306.7878,289.3158,306.7878
Subject #20,5.071,Smell,POV,no event,286.9763,310.2689,286.9763,310.2689
Subject #20,5.178,Smell,POV,no event,286.9763,310.2689,286.9763,310.2689
Subject #20,5.293,Smell,POV,no event,282.2208,319.4425,282.2208,319.4425
Subject #20,5.437,Smell,POV,no event,276.3874,335.7826,276.3874,335.7826
Subject #20,5.554,Smell,POV,no event,273.1472,347.4852,273.1472,347.4852
Subject #20,5.675,Smell,POV,no event,272.9689,348.1732,272.9689,348.1732
Subject #20,5.801,Smell,POV,no event,272.9689,348.1732,272.9689,348.1732
Subject #20,5.930,Smell,POV,no event,269.9675,0.1313361,269.9675,0.1313361
Subject #20,6.041,Smell,POV,no event,266.6763,13.19215,266.6763,13.19215
Subject #20,6.145,Smell,POV,no event,265.7521,16.67151,265.7521,16.67151
Subject #20,6.255,Smell,POV,no event,265.7521,16.67151,265.7521,16.67151
Subject #20,6.372,Smell,POV,no event,265.7521,16.67151,265.7521,16.67151
Subject #20,6.500,Smell,POV,no event,259.5226,15.02288,259.5226,15.02288
Subject #20,6.608,Smell,POV,no event,246.6653,11.01389,246.6653,11.01389
Subject #20,6.732,Smell,POV,no event,243.0139,9.744583,243.0139,9.744583
Subject #20,6.845,Smell,POV,no event,243.0139,9.744583,243.0139,9.744583
Subject #20,6.956,Smell,POV,no event,246.3391,0.449858,246.3391,0.449858
Subject #20,7.076,Smell,POV,no event,253.3573,347.8962,253.3573,347.8962
Subject #20,7.239,Smell,POV,no event,272.4249,340.0741,272.4249,340.0741
Subject #20,7.370,Smell,POV,no event,272.4249,340.0741,272.4249,340.0741
Subject #20,7.480,Smell,POV,no event,272.4249,340.0741,272.4249,340.0741
Subject #20,7.634,Smell,POV,no event,279.9028,326.7115,279.9028,326.7115
Subject #20,7.778,Smell,POV,no event,289.5109,314.5066,289.5109,314.5066
Subject #20,7.903,Smell,POV,no event,289.5109,314.5066,289.5109,314.5066
Subject #20,8.014,Smell,POV,no event,289.5109,314.5066,289.5109,314.5066
Subject #20,8.121,Smell,POV,no event,289.5109,314.5066,289.5109,314.5066
Subject #20,8.253,Smell,POV,no event,289.5109,314.5066,289.5109,314.5066
Subject #20,8.394,Smell,POV,no event,289.5109,314.5066,289.5109,314.5066
