SubjectName,Timestamp,FeedbackType,ActionType,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #91,0.003,Heat,No Action,no event,341.5013,358.7853,346.9974,11.98373
Subject #91,0.105,Audio,No Action,no event,342.0464,358.8879,346.8738,12.16206
Subject #91,0.210,Audio,No Action,no event,342.164,359.1241,346.4254,12.57295
Subject #91,0.312,Audio,No Action,no event,342.1282,359.4764,346.1715,13.23073
Subject #91,0.425,Audio,No Action,no event,342.0383,0.03219983,346.0841,13.80669
Subject #91,0.536,Audio,No Action,no event,342.0052,0.560285,346.0885,14.66079
Subject #91,0.636,Audio,No Action,no event,342.0635,1.069759,346.2007,15.24913
Subject #91,0.737,Audio,No Action,no event,342.1791,1.582975,346.2078,15.7759
Subject #91,0.849,Audio,No Action,no event,342.2865,2.042438,346.3363,16.34467
Subject #91,0.957,Audio,No Action,no event,342.3348,2.484685,346.4152,16.74976
Subject #91,1.062,Audio,No Action,no event,342.3378,2.842829,346.9229,17.14233
Subject #91,1.172,Audio,No Action,no event,342.3202,2.695295,349.5428,16.42295
Subject #91,1.277,Audio,No Action,no event,343.0152,1.70654,355.7355,15.81286
Subject #91,1.385,Audio,No Action,no event,344.7649,0.2219766,5.028593,15.73397
Subject #91,1.485,Audio,No Action,no event,347.0841,358.7063,7.618812,15.58494
Subject #91,1.596,Audio,No Action,no event,347.558,358.3634,10.27506,17.52179
Subject #91,1.696,Audio,No Action,no event,347.558,358.3634,14.17786,17.19443
Subject #91,1.797,Audio,No Action,no event,347.558,358.3634,18.1114,17.30683
Subject #91,1.898,Audio,No Action,no event,347.558,358.3634,24.24998,18.46252
Subject #91,1.998,Audio,No Action,no event,347.558,358.3634,30.59199,19.73123
Subject #91,2.109,Audio,No Action,no event,347.558,358.3634,38.05503,20.18294
Subject #91,2.220,Audio,No Action,no event,347.558,358.3634,46.26957,22.47583
Subject #91,2.321,Audio,No Action,no event,347.558,358.3634,53.20107,24.45834
Subject #91,2.421,Audio,No Action,no event,347.558,358.3634,60.97933,25.86794
Subject #91,2.522,Audio,No Action,no event,347.558,358.3634,68.74586,27.12963
Subject #91,2.623,Audio,No Action,no event,347.558,358.3634,74.3836,27.47632
Subject #91,2.723,Audio,No Action,no event,347.558,358.3634,76.62227,20.58225
Subject #91,2.824,Audio,No Action,no event,347.558,358.3634,81.71293,11.32093
Subject #91,2.935,Audio,No Action,no event,347.558,358.3634,87.5363,0.9753568
Subject #91,3.036,Audio,No Action,no event,347.558,358.3634,90.22382,358.0082
Subject #91,3.137,Audio,No Action,no event,347.558,358.3634,96.94234,359.3167
Subject #91,3.238,Audio,No Action,no event,347.558,358.3634,103.0327,355.3296
Subject #91,3.349,Audio,No Action,no event,347.558,358.3634,115.6686,357.0218
Subject #91,3.450,Audio,No Action,no event,347.558,358.3634,128.1365,355.4595
Subject #91,3.550,Audio,No Action,no event,347.558,358.3634,131.3429,348.1371
Subject #91,3.650,Audio,No Action,no event,347.558,358.3634,134.9571,349.8973
Subject #91,3.751,Audio,No Action,no event,347.558,358.3634,139.1069,353.8862
Subject #91,3.852,Audio,No Action,no event,347.558,358.3634,140.8783,351.4234
Subject #91,3.952,Audio,No Action,no event,347.558,358.3634,142.6179,353.7616
Subject #91,4.053,Audio,No Action,no event,347.558,358.3634,144.3549,353.0256
Subject #91,4.153,Audio,No Action,no event,347.558,358.3634,143.6973,347.1772
Subject #91,4.254,Audio,No Action,no event,347.558,358.3634,143.1415,345.8297
Subject #91,4.354,Audio,No Action,no event,347.558,358.3634,143.6059,350.7466
Subject #91,4.455,Audio,No Action,no event,347.558,358.3634,142.8651,352.1041
Subject #91,4.555,Audio,No Action,no event,347.558,358.3634,136.2631,349.9411
Subject #91,4.656,Audio,No Action,no event,347.558,358.3634,128.0866,346.8472
Subject #91,4.757,Audio,No Action,no event,347.558,358.3634,120.7733,349.9115
Subject #91,4.868,Audio,No Action,no event,347.558,358.3634,115.8313,349.2017
Subject #91,4.968,Audio,No Action,no event,347.558,358.3634,110.3536,352.7723
Subject #91,5.070,Audio,No Action,no event,347.558,358.3634,105.9406,354.6668
Subject #91,5.180,Audio,No Action,no event,347.558,358.3634,100.0001,354.4404
Subject #91,5.292,Audio,No Action,no event,347.558,358.3634,87.10963,354.3032
Subject #91,5.392,Audio,No Action,no event,347.558,358.3634,68.05189,352.3253
Subject #91,5.493,Audio,No Action,no event,347.558,358.3634,50.54088,352.7062
Subject #91,5.593,Audio,No Action,no event,347.558,358.3634,39.11626,357.9412
Subject #91,5.694,Audio,No Action,no event,347.558,358.3634,31.43314,9.478728
Subject #91,5.796,Audio,No Action,no event,347.558,358.3634,26.05093,16.46464
Subject #91,5.896,Audio,No Action,no event,347.558,358.3634,20.56834,21.17179
Subject #91,5.997,Audio,No Action,no event,347.558,358.3634,15.25175,28.79053
Subject #91,6.097,Audio,No Action,no event,347.558,358.3634,14.43639,33.92648
Subject #91,6.198,Audio,No Action,no event,347.558,358.3634,12.7447,28.32514
Subject #91,6.298,Audio,No Action,no event,347.558,358.3634,7.030821,26.77873
Subject #91,6.399,Audio,No Action,no event,347.558,358.3634,4.821553,20.83664
